"Fact","Fact Note","Tazewell County, Illinois","Value Note for Tazewell County, Illinois"
"Population estimates, July 1, 2024, (V2024)","","129,821",""
"Population estimates, July 1, 2023, (V2023)","","129,541",""
"Population estimates base, April 1, 2020, (V2024)","","131,552",""
"Population estimates base, April 1, 2020, (V2023)","","131,341",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.4%",""
"Population, Census, April 1, 2020","","131,343",""
"Population, Census, April 1, 2010","","135,394",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","21.7%",""
"Persons 65 years and over, percent","","20.3%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","95.2%",""
"Black alone, percent (a)","(a)","1.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","1.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","2.8%",""
"White alone, not Hispanic or Latino, percent","","92.8%",""
"Veterans, 2019-2023","","7,474",""
"Foreign-born persons, percent, 2019-2023","","1.4%",""
"Housing Units, July 1, 2023, (V2023)","","58,833",""
"Owner-occupied housing unit rate, 2019-2023","","77.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$164,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,435",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$649",""
"Median gross rent, 2019-2023","","$898",""
"Building Permits, 2023","","46",""
"Households, 2019-2023","","53,812",""
"Persons per household, 2019-2023","","2.37",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.3%",""
"Households with a computer, percent, 2019-2023","","94.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","28.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.3%",""
"Persons without health insurance, under age 65 years, percent","","5.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","62.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","412,378",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","613,521",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","527,629",""
"Total retail sales, 2022 ($1,000)","(c)","2,599,354",""
"Total retail sales per capita, 2022","(c)","$20,055",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.9",""
"Median households income (in 2023 dollars), 2019-2023","","$76,704",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$40,072",""
"Persons in poverty, percent","","8.9%",""
"Total employer establishments, 2022","","2,766",""
"Total employment, 2022","","42,737",""
"Total annual payroll, 2022 ($1,000)","","2,076,111",""
"Total employment, percent change, 2021-2022","","6.5%",""
"Total nonemployer establishments, 2022","","7,011",""
"All employer firms, Reference year 2022","","1,969",""
"Men-owned employer firms, Reference year 2022","","1,089",""
"Women-owned employer firms, Reference year 2022","","488",""
"Minority-owned employer firms, Reference year 2022","","140",""
"Nonminority-owned employer firms, Reference year 2022","","1,518",""
"Veteran-owned employer firms, Reference year 2022","","101",""
"Nonveteran-owned employer firms, Reference year 2022","","1,524",""
"Population per square mile, 2020","","203.2",""
"Population per square mile, 2010","","208.6",""
"Land area in square miles, 2020","","646.47",""
"Land area in square miles, 2010","","648.97",""
"FIPS Code","","""17179""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
