"Fact","Fact Note","Woodford County, Illinois","Value Note for Woodford County, Illinois"
"Population estimates, July 1, 2024, (V2024)","","38,290",""
"Population estimates, July 1, 2023, (V2023)","","38,285",""
"Population estimates base, April 1, 2020, (V2024)","","38,457",""
"Population estimates base, April 1, 2020, (V2023)","","38,465",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.5%",""
"Population, Census, April 1, 2020","","38,467",""
"Population, Census, April 1, 2010","","38,664",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","23.6%",""
"Persons 65 years and over, percent","","19.6%",""
"Female persons, percent","","50.0%",""
"White alone, percent","","96.4%",""
"Black alone, percent (a)","(a)","0.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","2.2%",""
"White alone, not Hispanic or Latino, percent","","94.5%",""
"Veterans, 2019-2023","","1,802",""
"Foreign-born persons, percent, 2019-2023","","1.5%",""
"Housing Units, July 1, 2023, (V2023)","","15,762",""
"Owner-occupied housing unit rate, 2019-2023","","83.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$193,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,619",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$703",""
"Median gross rent, 2019-2023","","$907",""
"Building Permits, 2023","","36",""
"Households, 2019-2023","","14,704",""
"Persons per household, 2019-2023","","2.54",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.8%",""
"Households with a computer, percent, 2019-2023","","94.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","36.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","6.6%",""
"Persons without health insurance, under age 65 years, percent","","5.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","34,429",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","103,583",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","707,624",""
"Total retail sales per capita, 2022","(c)","$18,535",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.3",""
"Median households income (in 2023 dollars), 2019-2023","","$85,629",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$43,032",""
"Persons in poverty, percent","","6.9%",""
"Total employer establishments, 2022","","783",""
"Total employment, 2022","","8,388",""
"Total annual payroll, 2022 ($1,000)","","441,629",""
"Total employment, percent change, 2021-2022","","3.6%",""
"Total nonemployer establishments, 2022","","2,607",""
"All employer firms, Reference year 2022","","660",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","67",""
"Minority-owned employer firms, Reference year 2022","","6",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","88",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","72.9",""
"Population per square mile, 2010","","73.3",""
"Land area in square miles, 2020","","527.55",""
"Land area in square miles, 2010","","527.80",""
"FIPS Code","","""17203""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
