"Fact","Fact Note","Blackford County, Indiana","Value Note for Blackford County, Indiana"
"Population estimates, July 1, 2024, (V2024)","","11,816",""
"Population estimates, July 1, 2023, (V2023)","","11,893",""
"Population estimates base, April 1, 2020, (V2024)","","12,112",""
"Population estimates base, April 1, 2020, (V2023)","","12,109",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.8%",""
"Population, Census, April 1, 2020","","12,112",""
"Population, Census, April 1, 2010","","12,766",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","22.3%",""
"Persons 65 years and over, percent","","22.2%",""
"Female persons, percent","","50.9%",""
"White alone, percent","","95.7%",""
"Black alone, percent (a)","(a)","1.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.2%",""
"Hispanic or Latino, percent (b)","(b)","2.6%",""
"White alone, not Hispanic or Latino, percent","","93.4%",""
"Veterans, 2019-2023","","802",""
"Foreign-born persons, percent, 2019-2023","","1.0%",""
"Housing Units, July 1, 2023, (V2023)","","5,850",""
"Owner-occupied housing unit rate, 2019-2023","","73.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$96,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,060",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$433",""
"Median gross rent, 2019-2023","","$635",""
"Building Permits, 2023","","9",""
"Households, 2019-2023","","5,060",""
"Persons per household, 2019-2023","","2.35",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.0%",""
"Households with a computer, percent, 2019-2023","","89.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","13.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","16.8%",""
"Persons without health insurance, under age 65 years, percent","","7.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","54.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","51.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","13,933",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","60,240",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","16,137",""
"Total retail sales, 2022 ($1,000)","(c)","87,624",""
"Total retail sales per capita, 2022","(c)","$7,352",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.8",""
"Median households income (in 2023 dollars), 2019-2023","","$47,560",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$28,774",""
"Persons in poverty, percent","","15.7%",""
"Total employer establishments, 2022","","235",""
"Total employment, 2022","","2,571",""
"Total annual payroll, 2022 ($1,000)","","125,613",""
"Total employment, percent change, 2021-2022","","2.9%",""
"Total nonemployer establishments, 2022","","618",""
"All employer firms, Reference year 2022","","199",""
"Men-owned employer firms, Reference year 2022","","94",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","164",""
"Veteran-owned employer firms, Reference year 2022","","6",""
"Nonveteran-owned employer firms, Reference year 2022","","162",""
"Population per square mile, 2020","","73.4",""
"Population per square mile, 2010","","77.3",""
"Land area in square miles, 2020","","165.08",""
"Land area in square miles, 2010","","165.08",""
"FIPS Code","","""18009""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
