"Fact","Fact Note","Carroll County, Indiana","Value Note for Carroll County, Indiana"
"Population estimates, July 1, 2024, (V2024)","","20,747",""
"Population estimates, July 1, 2023, (V2023)","","20,525",""
"Population estimates base, April 1, 2020, (V2024)","","20,299",""
"Population estimates base, April 1, 2020, (V2023)","","20,308",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.1%",""
"Population, Census, April 1, 2020","","20,306",""
"Population, Census, April 1, 2010","","20,155",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","21.5%",""
"Persons 65 years and over, percent","","21.2%",""
"Female persons, percent","","49.1%",""
"White alone, percent","","96.8%",""
"Black alone, percent (a)","(a)","1.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","0.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.3%",""
"Hispanic or Latino, percent (b)","(b)","4.7%",""
"White alone, not Hispanic or Latino, percent","","93.1%",""
"Veterans, 2019-2023","","1,237",""
"Foreign-born persons, percent, 2019-2023","","1.9%",""
"Housing Units, July 1, 2023, (V2023)","","9,586",""
"Owner-occupied housing unit rate, 2019-2023","","80.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$167,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,153",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$431",""
"Median gross rent, 2019-2023","","$874",""
"Building Permits, 2023","","43",""
"Households, 2019-2023","","8,024",""
"Persons per household, 2019-2023","","2.53",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.5%",""
"Households with a computer, percent, 2019-2023","","92.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","79.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","15.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.8%",""
"Persons without health insurance, under age 65 years, percent","","9.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","62.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","56.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","31,798",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","24,131",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","122,873",""
"Total retail sales per capita, 2022","(c)","$5,990",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.1",""
"Median households income (in 2023 dollars), 2019-2023","","$64,003",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$34,366",""
"Persons in poverty, percent","","9.2%",""
"Total employer establishments, 2022","","397",""
"Total employment, 2022","","4,714",""
"Total annual payroll, 2022 ($1,000)","","211,672",""
"Total employment, percent change, 2021-2022","","-4.6%",""
"Total nonemployer establishments, 2022","","1,466",""
"All employer firms, Reference year 2022","","294",""
"Men-owned employer firms, Reference year 2022","","172",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","10",""
"Nonminority-owned employer firms, Reference year 2022","","216",""
"Veteran-owned employer firms, Reference year 2022","","3",""
"Nonveteran-owned employer firms, Reference year 2022","","226",""
"Population per square mile, 2020","","54.6",""
"Population per square mile, 2010","","54.1",""
"Land area in square miles, 2020","","372.23",""
"Land area in square miles, 2010","","372.22",""
"FIPS Code","","""18015""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
