"Fact","Fact Note","Greene County, Indiana","Value Note for Greene County, Indiana"
"Population estimates, July 1, 2024, (V2024)","","31,219",""
"Population estimates, July 1, 2023, (V2023)","","31,196",""
"Population estimates base, April 1, 2020, (V2024)","","30,807",""
"Population estimates base, April 1, 2020, (V2023)","","30,796",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.3%",""
"Population, Census, April 1, 2020","","30,803",""
"Population, Census, April 1, 2010","","33,165",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","21.5%",""
"Persons 65 years and over, percent","","20.6%",""
"Female persons, percent","","49.7%",""
"White alone, percent","","97.4%",""
"Black alone, percent (a)","(a)","0.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.3%",""
"Hispanic or Latino, percent (b)","(b)","2.2%",""
"White alone, not Hispanic or Latino, percent","","95.4%",""
"Veterans, 2019-2023","","2,261",""
"Foreign-born persons, percent, 2019-2023","","0.7%",""
"Housing Units, July 1, 2023, (V2023)","","14,372",""
"Owner-occupied housing unit rate, 2019-2023","","75.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$129,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,173",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$465",""
"Median gross rent, 2019-2023","","$788",""
"Building Permits, 2023","","NA",""
"Households, 2019-2023","","12,781",""
"Persons per household, 2019-2023","","2.39",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.9%",""
"Households with a computer, percent, 2019-2023","","90.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","80.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","14.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","14.2%",""
"Persons without health insurance, under age 65 years, percent","","8.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","34,560",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","125,123",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","325,813",""
"Total retail sales per capita, 2022","(c)","$10,486",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","28.4",""
"Median households income (in 2023 dollars), 2019-2023","","$59,753",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,807",""
"Persons in poverty, percent","","11.9%",""
"Total employer establishments, 2022","","562",""
"Total employment, 2022","","4,783",""
"Total annual payroll, 2022 ($1,000)","","184,256",""
"Total employment, percent change, 2021-2022","","3.9%",""
"Total nonemployer establishments, 2022","","1,902",""
"All employer firms, Reference year 2022","","247",""
"Men-owned employer firms, Reference year 2022","","130",""
"Women-owned employer firms, Reference year 2022","","16",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","162",""
"Veteran-owned employer firms, Reference year 2022","","12",""
"Nonveteran-owned employer firms, Reference year 2022","","151",""
"Population per square mile, 2020","","56.8",""
"Population per square mile, 2010","","61.1",""
"Land area in square miles, 2020","","542.47",""
"Land area in square miles, 2010","","542.50",""
"FIPS Code","","""18055""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
