"Fact","Fact Note","Henry County, Indiana","Value Note for Henry County, Indiana"
"Population estimates, July 1, 2024, (V2024)","","49,081",""
"Population estimates, July 1, 2023, (V2023)","","48,929",""
"Population estimates base, April 1, 2020, (V2024)","","48,915",""
"Population estimates base, April 1, 2020, (V2023)","","48,910",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","Z",""
"Population, Census, April 1, 2020","","48,914",""
"Population, Census, April 1, 2010","","49,462",""
"Persons under 5 years, percent","","4.9%",""
"Persons under 18 years, percent","","20.1%",""
"Persons 65 years and over, percent","","19.8%",""
"Female persons, percent","","47.5%",""
"White alone, percent","","94.6%",""
"Black alone, percent (a)","(a)","2.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.2%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","2.4%",""
"White alone, not Hispanic or Latino, percent","","92.5%",""
"Veterans, 2019-2023","","3,239",""
"Foreign-born persons, percent, 2019-2023","","1.2%",""
"Housing Units, July 1, 2023, (V2023)","","21,024",""
"Owner-occupied housing unit rate, 2019-2023","","75.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$140,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,105",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$494",""
"Median gross rent, 2019-2023","","$807",""
"Building Permits, 2023","","46",""
"Households, 2019-2023","","18,460",""
"Persons per household, 2019-2023","","2.47",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.1%",""
"Households with a computer, percent, 2019-2023","","92.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","16.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","16.2%",""
"Persons without health insurance, under age 65 years, percent","","7.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","54.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","53.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","71,151",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","222,655",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","41,500",""
"Total retail sales, 2022 ($1,000)","(c)","785,721",""
"Total retail sales per capita, 2022","(c)","$16,096",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.9",""
"Median households income (in 2023 dollars), 2019-2023","","$60,144",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$31,084",""
"Persons in poverty, percent","","12.7%",""
"Total employer establishments, 2022","","851",""
"Total employment, 2022","","10,889",""
"Total annual payroll, 2022 ($1,000)","","447,477",""
"Total employment, percent change, 2021-2022","","-2.0%",""
"Total nonemployer establishments, 2022","","2,641",""
"All employer firms, Reference year 2022","","647",""
"Men-owned employer firms, Reference year 2022","","421",""
"Women-owned employer firms, Reference year 2022","","52",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","501",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","437",""
"Population per square mile, 2020","","124.8",""
"Population per square mile, 2010","","126.2",""
"Land area in square miles, 2020","","391.88",""
"Land area in square miles, 2010","","391.88",""
"FIPS Code","","""18065""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
