"Fact","Fact Note","Huntington County, Indiana","Value Note for Huntington County, Indiana"
"Population estimates, July 1, 2024, (V2024)","","36,944",""
"Population estimates, July 1, 2023, (V2023)","","36,781",""
"Population estimates base, April 1, 2020, (V2024)","","36,666",""
"Population estimates base, April 1, 2020, (V2023)","","36,669",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.3%",""
"Population, Census, April 1, 2020","","36,662",""
"Population, Census, April 1, 2010","","37,124",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","21.6%",""
"Persons 65 years and over, percent","","19.1%",""
"Female persons, percent","","50.3%",""
"White alone, percent","","96.2%",""
"Black alone, percent (a)","(a)","1.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent (b)","(b)","3.2%",""
"White alone, not Hispanic or Latino, percent","","93.4%",""
"Veterans, 2019-2023","","2,253",""
"Foreign-born persons, percent, 2019-2023","","1.5%",""
"Housing Units, July 1, 2023, (V2023)","","16,399",""
"Owner-occupied housing unit rate, 2019-2023","","76.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$146,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,132",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$435",""
"Median gross rent, 2019-2023","","$866",""
"Building Permits, 2023","","61",""
"Households, 2019-2023","","15,227",""
"Persons per household, 2019-2023","","2.32",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.2%",""
"Households with a computer, percent, 2019-2023","","92.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","23.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.1%",""
"Persons without health insurance, under age 65 years, percent","","7.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","56.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","69,008",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","181,100",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","57,407",""
"Total retail sales, 2022 ($1,000)","(c)","448,197",""
"Total retail sales per capita, 2022","(c)","$12,179",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.5",""
"Median households income (in 2023 dollars), 2019-2023","","$62,734",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$34,479",""
"Persons in poverty, percent","","8.9%",""
"Total employer establishments, 2022","","882",""
"Total employment, 2022","","12,676",""
"Total annual payroll, 2022 ($1,000)","","495,228",""
"Total employment, percent change, 2021-2022","","4.9%",""
"Total nonemployer establishments, 2022","","2,114",""
"All employer firms, Reference year 2022","","759",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","126",""
"Minority-owned employer firms, Reference year 2022","","31",""
"Nonminority-owned employer firms, Reference year 2022","","601",""
"Veteran-owned employer firms, Reference year 2022","","39",""
"Nonveteran-owned employer firms, Reference year 2022","","586",""
"Population per square mile, 2020","","95.8",""
"Population per square mile, 2010","","97.0",""
"Land area in square miles, 2020","","382.65",""
"Land area in square miles, 2010","","382.65",""
"FIPS Code","","""18069""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
