"Fact","Fact Note","Jefferson County, Indiana","Value Note for Jefferson County, Indiana"
"Population estimates, July 1, 2024, (V2024)","","32,921",""
"Population estimates, July 1, 2023, (V2023)","","33,056",""
"Population estimates base, April 1, 2020, (V2024)","","33,145",""
"Population estimates base, April 1, 2020, (V2023)","","33,143",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.3%",""
"Population, Census, April 1, 2020","","33,147",""
"Population, Census, April 1, 2010","","32,428",""
"Persons under 5 years, percent","","5.2%",""
"Persons under 18 years, percent","","19.9%",""
"Persons 65 years and over, percent","","19.9%",""
"Female persons, percent","","51.6%",""
"White alone, percent","","94.8%",""
"Black alone, percent (a)","(a)","2.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","3.5%",""
"White alone, not Hispanic or Latino, percent","","91.8%",""
"Veterans, 2019-2023","","1,598",""
"Foreign-born persons, percent, 2019-2023","","1.2%",""
"Housing Units, July 1, 2023, (V2023)","","14,575",""
"Owner-occupied housing unit rate, 2019-2023","","69.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$180,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,215",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$498",""
"Median gross rent, 2019-2023","","$865",""
"Building Permits, 2023","","72",""
"Households, 2019-2023","","12,699",""
"Persons per household, 2019-2023","","2.45",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.6%",""
"Households with a computer, percent, 2019-2023","","89.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","82.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","18.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","15.6%",""
"Persons without health insurance, under age 65 years, percent","","7.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","57.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","50.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","77,076",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","282,674",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","46,447",""
"Total retail sales, 2022 ($1,000)","(c)","505,786",""
"Total retail sales per capita, 2022","(c)","$15,357",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.9",""
"Median households income (in 2023 dollars), 2019-2023","","$59,987",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,420",""
"Persons in poverty, percent","","12.1%",""
"Total employer establishments, 2022","","661",""
"Total employment, 2022","","11,703",""
"Total annual payroll, 2022 ($1,000)","","513,403",""
"Total employment, percent change, 2021-2022","","1.8%",""
"Total nonemployer establishments, 2022","","2,028",""
"All employer firms, Reference year 2022","","664",""
"Men-owned employer firms, Reference year 2022","","298",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","13",""
"Nonminority-owned employer firms, Reference year 2022","","500",""
"Veteran-owned employer firms, Reference year 2022","","10",""
"Nonveteran-owned employer firms, Reference year 2022","","501",""
"Population per square mile, 2020","","91.9",""
"Population per square mile, 2010","","89.9",""
"Land area in square miles, 2020","","360.64",""
"Land area in square miles, 2010","","360.63",""
"FIPS Code","","""18077""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
