"Fact","Fact Note","Jennings County, Indiana","Value Note for Jennings County, Indiana"
"Population estimates, July 1, 2024, (V2024)","","27,634",""
"Population estimates, July 1, 2023, (V2023)","","27,622",""
"Population estimates base, April 1, 2020, (V2024)","","27,607",""
"Population estimates base, April 1, 2020, (V2023)","","27,611",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","Z",""
"Population, Census, April 1, 2020","","27,613",""
"Population, Census, April 1, 2010","","28,525",""
"Persons under 5 years, percent","","5.7%",""
"Persons under 18 years, percent","","23.0%",""
"Persons 65 years and over, percent","","17.5%",""
"Female persons, percent","","49.2%",""
"White alone, percent","","96.6%",""
"Black alone, percent (a)","(a)","0.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.6%",""
"Hispanic or Latino, percent (b)","(b)","3.6%",""
"White alone, not Hispanic or Latino, percent","","93.4%",""
"Veterans, 2019-2023","","1,834",""
"Foreign-born persons, percent, 2019-2023","","1.2%",""
"Housing Units, July 1, 2023, (V2023)","","11,806",""
"Owner-occupied housing unit rate, 2019-2023","","79.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$154,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,209",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$459",""
"Median gross rent, 2019-2023","","$906",""
"Building Permits, 2023","","81",""
"Households, 2019-2023","","10,760",""
"Persons per household, 2019-2023","","2.53",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.9%",""
"Households with a computer, percent, 2019-2023","","91.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","85.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","87.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","13.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","15.2%",""
"Persons without health insurance, under age 65 years, percent","","7.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","24,699",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","71,143",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","36,253",""
"Total retail sales, 2022 ($1,000)","(c)","266,601",""
"Total retail sales per capita, 2022","(c)","$9,700",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.1",""
"Median households income (in 2023 dollars), 2019-2023","","$68,476",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$31,077",""
"Persons in poverty, percent","","13.4%",""
"Total employer establishments, 2022","","455",""
"Total employment, 2022","","6,588",""
"Total annual payroll, 2022 ($1,000)","","324,603",""
"Total employment, percent change, 2021-2022","","-1.8%",""
"Total nonemployer establishments, 2022","","1,558",""
"All employer firms, Reference year 2022","","359",""
"Men-owned employer firms, Reference year 2022","","257",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","13",""
"Nonminority-owned employer firms, Reference year 2022","","278",""
"Veteran-owned employer firms, Reference year 2022","","15",""
"Nonveteran-owned employer firms, Reference year 2022","","269",""
"Population per square mile, 2020","","73.3",""
"Population per square mile, 2010","","75.7",""
"Land area in square miles, 2020","","376.60",""
"Land area in square miles, 2010","","376.58",""
"FIPS Code","","""18079""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
