"Fact","Fact Note","LaGrange County, Indiana","Value Note for LaGrange County, Indiana"
"Population estimates, July 1, 2024, (V2024)","","41,122",""
"Population estimates, July 1, 2023, (V2023)","","40,907",""
"Population estimates base, April 1, 2020, (V2024)","","40,443",""
"Population estimates base, April 1, 2020, (V2023)","","40,453",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.1%",""
"Population, Census, April 1, 2020","","40,446",""
"Population, Census, April 1, 2010","","37,128",""
"Persons under 5 years, percent","","8.6%",""
"Persons under 18 years, percent","","31.4%",""
"Persons 65 years and over, percent","","14.9%",""
"Female persons, percent","","48.9%",""
"White alone, percent","","97.9%",""
"Black alone, percent (a)","(a)","0.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","0.8%",""
"Hispanic or Latino, percent (b)","(b)","4.6%",""
"White alone, not Hispanic or Latino, percent","","93.6%",""
"Veterans, 2019-2023","","1,027",""
"Foreign-born persons, percent, 2019-2023","","2.0%",""
"Housing Units, July 1, 2023, (V2023)","","15,291",""
"Owner-occupied housing unit rate, 2019-2023","","81.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$249,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,357",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$452",""
"Median gross rent, 2019-2023","","$816",""
"Building Permits, 2023","","136",""
"Households, 2019-2023","","12,804",""
"Persons per household, 2019-2023","","3.15",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","46.6%",""
"Households with a computer, percent, 2019-2023","","73.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","66.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","60.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","11.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.8%",""
"Persons without health insurance, under age 65 years, percent","","33.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","50.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","55,674",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","109,067",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","156,527",""
"Total retail sales, 2022 ($1,000)","(c)","507,528",""
"Total retail sales per capita, 2022","(c)","$12,423",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.0",""
"Median households income (in 2023 dollars), 2019-2023","","$83,741",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,928",""
"Persons in poverty, percent","","8.4%",""
"Total employer establishments, 2022","","963",""
"Total employment, 2022","","14,736",""
"Total annual payroll, 2022 ($1,000)","","856,280",""
"Total employment, percent change, 2021-2022","","-7.0%",""
"Total nonemployer establishments, 2022","","4,148",""
"All employer firms, Reference year 2022","","873",""
"Men-owned employer firms, Reference year 2022","","555",""
"Women-owned employer firms, Reference year 2022","","101",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","792",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","752",""
"Population per square mile, 2020","","106.5",""
"Population per square mile, 2010","","97.8",""
"Land area in square miles, 2020","","379.63",""
"Land area in square miles, 2010","","379.62",""
"FIPS Code","","""18087""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
