"Fact","Fact Note","Marion County, Indiana","Value Note for Marion County, Indiana"
"Population estimates, July 1, 2024, (V2024)","","981,628",""
"Population estimates, July 1, 2023, (V2023)","","968,460",""
"Population estimates base, April 1, 2020, (V2024)","","977,206",""
"Population estimates base, April 1, 2020, (V2023)","","977,202",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.9%",""
"Population, Census, April 1, 2020","","977,203",""
"Population, Census, April 1, 2010","","903,393",""
"Persons under 5 years, percent","","6.9%",""
"Persons under 18 years, percent","","24.8%",""
"Persons 65 years and over, percent","","13.6%",""
"Female persons, percent","","51.6%",""
"White alone, percent","","61.8%",""
"Black alone, percent (a)","(a)","29.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","4.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","3.4%",""
"Hispanic or Latino, percent (b)","(b)","13.9%",""
"White alone, not Hispanic or Latino, percent","","49.9%",""
"Veterans, 2019-2023","","40,971",""
"Foreign-born persons, percent, 2019-2023","","11.6%",""
"Housing Units, July 1, 2023, (V2023)","","442,907",""
"Owner-occupied housing unit rate, 2019-2023","","55.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$207,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,395",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$534",""
"Median gross rent, 2019-2023","","$1,107",""
"Building Permits, 2023","","2,472",""
"Households, 2019-2023","","396,662",""
"Persons per household, 2019-2023","","2.41",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","16.8%",""
"Households with a computer, percent, 2019-2023","","93.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","87.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","34.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.3%",""
"Persons without health insurance, under age 65 years, percent","","9.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","68.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","64.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","3,756,315",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","17,014,546",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","5,668,673",""
"Total retail sales, 2022 ($1,000)","(c)","27,415,733",""
"Total retail sales per capita, 2022","(c)","$28,286",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.2",""
"Median households income (in 2023 dollars), 2019-2023","","$63,450",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$36,355",""
"Persons in poverty, percent","","15.6%",""
"Total employer establishments, 2022","","23,994",""
"Total employment, 2022","","535,145",""
"Total annual payroll, 2022 ($1,000)","","35,520,736",""
"Total employment, percent change, 2021-2022","","4.2%",""
"Total nonemployer establishments, 2022","","79,460",""
"All employer firms, Reference year 2022","","16,932",""
"Men-owned employer firms, Reference year 2022","","10,433",""
"Women-owned employer firms, Reference year 2022","","3,213",""
"Minority-owned employer firms, Reference year 2022","","3,243",""
"Nonminority-owned employer firms, Reference year 2022","","11,465",""
"Veteran-owned employer firms, Reference year 2022","","637",""
"Nonveteran-owned employer firms, Reference year 2022","","14,052",""
"Population per square mile, 2020","","2,463.9",""
"Population per square mile, 2010","","2,279.6",""
"Land area in square miles, 2020","","396.61",""
"Land area in square miles, 2010","","396.30",""
"FIPS Code","","""18097""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
