"Fact","Fact Note","Martin County, Indiana","Value Note for Martin County, Indiana"
"Population estimates, July 1, 2024, (V2024)","","9,864",""
"Population estimates, July 1, 2023, (V2023)","","9,897",""
"Population estimates base, April 1, 2020, (V2024)","","9,812",""
"Population estimates base, April 1, 2020, (V2023)","","9,811",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.9%",""
"Population, Census, April 1, 2020","","9,812",""
"Population, Census, April 1, 2010","","10,334",""
"Persons under 5 years, percent","","6.0%",""
"Persons under 18 years, percent","","22.0%",""
"Persons 65 years and over, percent","","22.0%",""
"Female persons, percent","","48.8%",""
"White alone, percent","","97.1%",""
"Black alone, percent (a)","(a)","0.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.2%",""
"Hispanic or Latino, percent (b)","(b)","1.6%",""
"White alone, not Hispanic or Latino, percent","","95.9%",""
"Veterans, 2019-2023","","807",""
"Foreign-born persons, percent, 2019-2023","","0.6%",""
"Housing Units, July 1, 2023, (V2023)","","4,588",""
"Owner-occupied housing unit rate, 2019-2023","","78.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$150,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,221",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$344",""
"Median gross rent, 2019-2023","","$643",""
"Building Permits, 2023","","3",""
"Households, 2019-2023","","3,928",""
"Persons per household, 2019-2023","","2.47",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.5%",""
"Households with a computer, percent, 2019-2023","","91.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","13.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.1%",""
"Persons without health insurance, under age 65 years, percent","","8.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","10,553",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","8,885",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","89,419",""
"Total retail sales per capita, 2022","(c)","$9,099",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","29.6",""
"Median households income (in 2023 dollars), 2019-2023","","$65,345",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,250",""
"Persons in poverty, percent","","13.2%",""
"Total employer establishments, 2022","","225",""
"Total employment, 2022","","2,227",""
"Total annual payroll, 2022 ($1,000)","","114,349",""
"Total employment, percent change, 2021-2022","","7.1%",""
"Total nonemployer establishments, 2022","","688",""
"All employer firms, Reference year 2022","","129",""
"Men-owned employer firms, Reference year 2022","","61",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","90",""
"Veteran-owned employer firms, Reference year 2022","","10",""
"Nonveteran-owned employer firms, Reference year 2022","","82",""
"Population per square mile, 2020","","29.2",""
"Population per square mile, 2010","","30.8",""
"Land area in square miles, 2020","","335.76",""
"Land area in square miles, 2010","","335.74",""
"FIPS Code","","""18101""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
