"Fact","Fact Note","Monroe County, Indiana","Value Note for Monroe County, Indiana"
"Population estimates, July 1, 2024, (V2024)","","140,702",""
"Population estimates, July 1, 2023, (V2023)","","139,342",""
"Population estimates base, April 1, 2020, (V2024)","","140,773",""
"Population estimates base, April 1, 2020, (V2023)","","139,711",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.3%",""
"Population, Census, April 1, 2020","","139,718",""
"Population, Census, April 1, 2010","","137,974",""
"Persons under 5 years, percent","","4.0%",""
"Persons under 18 years, percent","","15.8%",""
"Persons 65 years and over, percent","","15.3%",""
"Female persons, percent","","50.3%",""
"White alone, percent","","85.6%",""
"Black alone, percent (a)","(a)","4.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","7.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","3.0%",""
"Hispanic or Latino, percent (b)","(b)","4.9%",""
"White alone, not Hispanic or Latino, percent","","81.5%",""
"Veterans, 2019-2023","","6,031",""
"Foreign-born persons, percent, 2019-2023","","8.3%",""
"Housing Units, July 1, 2023, (V2023)","","66,776",""
"Owner-occupied housing unit rate, 2019-2023","","54.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$261,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,476",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$545",""
"Median gross rent, 2019-2023","","$1,151",""
"Building Permits, 2023","","479",""
"Households, 2019-2023","","58,264",""
"Persons per household, 2019-2023","","2.15",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","73.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","11.0%",""
"Households with a computer, percent, 2019-2023","","96.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","49.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.8%",""
"Persons without health insurance, under age 65 years, percent","","6.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","512,431",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,320,949",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","193,470",""
"Total retail sales, 2022 ($1,000)","(c)","2,194,932",""
"Total retail sales per capita, 2022","(c)","$15,721",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.8",""
"Median households income (in 2023 dollars), 2019-2023","","$63,372",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$36,836",""
"Persons in poverty, percent","","17.7%",""
"Total employer establishments, 2022","","3,058",""
"Total employment, 2022","","53,351",""
"Total annual payroll, 2022 ($1,000)","","2,666,920",""
"Total employment, percent change, 2021-2022","","2.9%",""
"Total nonemployer establishments, 2022","","9,931",""
"All employer firms, Reference year 2022","","2,177",""
"Men-owned employer firms, Reference year 2022","","1,170",""
"Women-owned employer firms, Reference year 2022","","420",""
"Minority-owned employer firms, Reference year 2022","","187",""
"Nonminority-owned employer firms, Reference year 2022","","1,617",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","1,714",""
"Population per square mile, 2020","","354.1",""
"Population per square mile, 2010","","349.7",""
"Land area in square miles, 2020","","394.52",""
"Land area in square miles, 2010","","394.51",""
"FIPS Code","","""18105""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
