"Fact","Fact Note","Parke County, Indiana","Value Note for Parke County, Indiana"
"Population estimates, July 1, 2024, (V2024)","","16,508",""
"Population estimates, July 1, 2023, (V2023)","","16,484",""
"Population estimates base, April 1, 2020, (V2024)","","16,163",""
"Population estimates base, April 1, 2020, (V2023)","","16,147",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.1%",""
"Population, Census, April 1, 2020","","16,156",""
"Population, Census, April 1, 2010","","17,339",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","22.9%",""
"Persons 65 years and over, percent","","21.2%",""
"Female persons, percent","","51.8%",""
"White alone, percent","","96.0%",""
"Black alone, percent (a)","(a)","2.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","0.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.1%",""
"Hispanic or Latino, percent (b)","(b)","1.7%",""
"White alone, not Hispanic or Latino, percent","","94.5%",""
"Veterans, 2019-2023","","1,113",""
"Foreign-born persons, percent, 2019-2023","","0.6%",""
"Housing Units, July 1, 2023, (V2023)","","7,725",""
"Owner-occupied housing unit rate, 2019-2023","","81.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$139,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,093",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$425",""
"Median gross rent, 2019-2023","","$731",""
"Building Permits, 2023","","34",""
"Households, 2019-2023","","5,985",""
"Persons per household, 2019-2023","","2.55",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.8%",""
"Households with a computer, percent, 2019-2023","","84.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","76.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","14.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.9%",""
"Persons without health insurance, under age 65 years, percent","","11.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","51.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","42.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","15,039",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","16,795",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","17,884",""
"Total retail sales, 2022 ($1,000)","(c)","169,357",""
"Total retail sales per capita, 2022","(c)","$10,347",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","30.4",""
"Median households income (in 2023 dollars), 2019-2023","","$66,776",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$31,264",""
"Persons in poverty, percent","","15.2%",""
"Total employer establishments, 2022","","288",""
"Total employment, 2022","","2,165",""
"Total annual payroll, 2022 ($1,000)","","87,554",""
"Total employment, percent change, 2021-2022","","-0.1%",""
"Total nonemployer establishments, 2022","","1,184",""
"All employer firms, Reference year 2022","","242",""
"Men-owned employer firms, Reference year 2022","","156",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","6",""
"Nonminority-owned employer firms, Reference year 2022","","203",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","205",""
"Population per square mile, 2020","","36.3",""
"Population per square mile, 2010","","39.0",""
"Land area in square miles, 2020","","444.72",""
"Land area in square miles, 2010","","444.66",""
"FIPS Code","","""18121""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
