"Fact","Fact Note","Pike County, Indiana","Value Note for Pike County, Indiana"
"Population estimates, July 1, 2024, (V2024)","","12,116",""
"Population estimates, July 1, 2023, (V2023)","","12,106",""
"Population estimates base, April 1, 2020, (V2024)","","12,256",""
"Population estimates base, April 1, 2020, (V2023)","","12,253",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.2%",""
"Population, Census, April 1, 2020","","12,250",""
"Population, Census, April 1, 2010","","12,845",""
"Persons under 5 years, percent","","5.8%",""
"Persons under 18 years, percent","","22.2%",""
"Persons 65 years and over, percent","","21.5%",""
"Female persons, percent","","49.2%",""
"White alone, percent","","97.1%",""
"Black alone, percent (a)","(a)","0.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.2%",""
"Hispanic or Latino, percent (b)","(b)","1.7%",""
"White alone, not Hispanic or Latino, percent","","95.7%",""
"Veterans, 2019-2023","","688",""
"Foreign-born persons, percent, 2019-2023","","0.5%",""
"Housing Units, July 1, 2023, (V2023)","","5,589",""
"Owner-occupied housing unit rate, 2019-2023","","85.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$128,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,139",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$431",""
"Median gross rent, 2019-2023","","$676",""
"Building Permits, 2023","","9",""
"Households, 2019-2023","","4,994",""
"Persons per household, 2019-2023","","2.40",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","0.6%",""
"Households with a computer, percent, 2019-2023","","89.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","79.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","15.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.1%",""
"Persons without health insurance, under age 65 years, percent","","7.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","58.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","54.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","4,808",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","21,216",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","189,686",""
"Total retail sales, 2022 ($1,000)","(c)","86,813",""
"Total retail sales per capita, 2022","(c)","$7,149",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.4",""
"Median households income (in 2023 dollars), 2019-2023","","$66,250",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$33,085",""
"Persons in poverty, percent","","10.8%",""
"Total employer establishments, 2022","","201",""
"Total employment, 2022","","2,018",""
"Total annual payroll, 2022 ($1,000)","","111,187",""
"Total employment, percent change, 2021-2022","","0.6%",""
"Total nonemployer establishments, 2022","","619",""
"All employer firms, Reference year 2022","","180",""
"Men-owned employer firms, Reference year 2022","","101",""
"Women-owned employer firms, Reference year 2022","","14",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","145",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","36.6",""
"Population per square mile, 2010","","38.4",""
"Land area in square miles, 2020","","334.30",""
"Land area in square miles, 2010","","334.24",""
"FIPS Code","","""18125""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
