"Fact","Fact Note","Porter County, Indiana","Value Note for Porter County, Indiana"
"Population estimates, July 1, 2024, (V2024)","","175,860",""
"Population estimates, July 1, 2023, (V2023)","","175,335",""
"Population estimates base, April 1, 2020, (V2024)","","173,224",""
"Population estimates base, April 1, 2020, (V2023)","","173,207",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.2%",""
"Population, Census, April 1, 2020","","173,215",""
"Population, Census, April 1, 2010","","164,343",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","21.1%",""
"Persons 65 years and over, percent","","18.9%",""
"Female persons, percent","","50.5%",""
"White alone, percent","","90.9%",""
"Black alone, percent (a)","(a)","5.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","1.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent (b)","(b)","12.0%",""
"White alone, not Hispanic or Latino, percent","","80.0%",""
"Veterans, 2019-2023","","8,855",""
"Foreign-born persons, percent, 2019-2023","","3.6%",""
"Housing Units, July 1, 2023, (V2023)","","73,137",""
"Owner-occupied housing unit rate, 2019-2023","","77.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$261,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,612",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$582",""
"Median gross rent, 2019-2023","","$1,146",""
"Building Permits, 2023","","627",""
"Households, 2019-2023","","68,049",""
"Persons per household, 2019-2023","","2.51",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.2%",""
"Households with a computer, percent, 2019-2023","","96.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","91.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","30.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.3%",""
"Persons without health insurance, under age 65 years, percent","","6.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","62.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","56.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","443,107",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,083,767",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","477,822",""
"Total retail sales, 2022 ($1,000)","(c)","3,129,654",""
"Total retail sales per capita, 2022","(c)","$17,899",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","28.3",""
"Median households income (in 2023 dollars), 2019-2023","","$85,828",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$42,814",""
"Persons in poverty, percent","","9.3%",""
"Total employer establishments, 2022","","3,714",""
"Total employment, 2022","","55,169",""
"Total annual payroll, 2022 ($1,000)","","3,051,308",""
"Total employment, percent change, 2021-2022","","3.2%",""
"Total nonemployer establishments, 2022","","11,686",""
"All employer firms, Reference year 2022","","3,139",""
"Men-owned employer firms, Reference year 2022","","1,837",""
"Women-owned employer firms, Reference year 2022","","571",""
"Minority-owned employer firms, Reference year 2022","","283",""
"Nonminority-owned employer firms, Reference year 2022","","2,494",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","2,631",""
"Population per square mile, 2020","","414.3",""
"Population per square mile, 2010","","393.0",""
"Land area in square miles, 2020","","418.10",""
"Land area in square miles, 2010","","418.15",""
"FIPS Code","","""18127""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
