"Fact","Fact Note","Steuben County, Indiana","Value Note for Steuben County, Indiana"
"Population estimates, July 1, 2024, (V2024)","","34,862",""
"Population estimates, July 1, 2023, (V2023)","","34,917",""
"Population estimates base, April 1, 2020, (V2024)","","34,444",""
"Population estimates base, April 1, 2020, (V2023)","","34,439",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.4%",""
"Population, Census, April 1, 2020","","34,435",""
"Population, Census, April 1, 2010","","34,185",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","19.5%",""
"Persons 65 years and over, percent","","22.7%",""
"Female persons, percent","","48.6%",""
"White alone, percent","","96.2%",""
"Black alone, percent (a)","(a)","1.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent (b)","(b)","4.5%",""
"White alone, not Hispanic or Latino, percent","","92.3%",""
"Veterans, 2019-2023","","2,252",""
"Foreign-born persons, percent, 2019-2023","","1.8%",""
"Housing Units, July 1, 2023, (V2023)","","19,327",""
"Owner-occupied housing unit rate, 2019-2023","","80.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$204,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,289",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$468",""
"Median gross rent, 2019-2023","","$921",""
"Building Permits, 2023","","131",""
"Households, 2019-2023","","13,765",""
"Persons per household, 2019-2023","","2.41",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.5%",""
"Households with a computer, percent, 2019-2023","","93.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","24.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.2%",""
"Persons without health insurance, under age 65 years, percent","","7.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","62.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","60.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","88,597",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","170,419",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","93,862",""
"Total retail sales, 2022 ($1,000)","(c)","853,624",""
"Total retail sales per capita, 2022","(c)","$24,549",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.4",""
"Median households income (in 2023 dollars), 2019-2023","","$71,483",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$37,126",""
"Persons in poverty, percent","","10.2%",""
"Total employer establishments, 2022","","967",""
"Total employment, 2022","","13,801",""
"Total annual payroll, 2022 ($1,000)","","601,252",""
"Total employment, percent change, 2021-2022","","-0.5%",""
"Total nonemployer establishments, 2022","","2,416",""
"All employer firms, Reference year 2022","","1,106",""
"Men-owned employer firms, Reference year 2022","","715",""
"Women-owned employer firms, Reference year 2022","","123",""
"Minority-owned employer firms, Reference year 2022","","35",""
"Nonminority-owned employer firms, Reference year 2022","","920",""
"Veteran-owned employer firms, Reference year 2022","","70",""
"Nonveteran-owned employer firms, Reference year 2022","","882",""
"Population per square mile, 2020","","111.5",""
"Population per square mile, 2010","","110.7",""
"Land area in square miles, 2020","","308.78",""
"Land area in square miles, 2010","","308.94",""
"FIPS Code","","""18151""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
