"Fact","Fact Note","Sullivan County, Indiana","Value Note for Sullivan County, Indiana"
"Population estimates, July 1, 2024, (V2024)","","20,768",""
"Population estimates, July 1, 2023, (V2023)","","20,757",""
"Population estimates base, April 1, 2020, (V2024)","","20,817",""
"Population estimates base, April 1, 2020, (V2023)","","20,811",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.3%",""
"Population, Census, April 1, 2020","","20,817",""
"Population, Census, April 1, 2010","","21,475",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","18.7%",""
"Persons 65 years and over, percent","","19.2%",""
"Female persons, percent","","45.1%",""
"White alone, percent","","92.7%",""
"Black alone, percent (a)","(a)","5.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","0.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","2.0%",""
"White alone, not Hispanic or Latino, percent","","91.1%",""
"Veterans, 2019-2023","","1,432",""
"Foreign-born persons, percent, 2019-2023","","1.1%",""
"Housing Units, July 1, 2023, (V2023)","","8,773",""
"Owner-occupied housing unit rate, 2019-2023","","75.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$122,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,089",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$467",""
"Median gross rent, 2019-2023","","$813",""
"Building Permits, 2023","","9",""
"Households, 2019-2023","","7,697",""
"Persons per household, 2019-2023","","2.43",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.6%",""
"Households with a computer, percent, 2019-2023","","90.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","81.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","14.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.7%",""
"Persons without health insurance, under age 65 years, percent","","7.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","54.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","26,426",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","75,123",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","231,167",""
"Total retail sales per capita, 2022","(c)","$11,183",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.9",""
"Median households income (in 2023 dollars), 2019-2023","","$54,985",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,424",""
"Persons in poverty, percent","","15.6%",""
"Total employer establishments, 2022","","338",""
"Total employment, 2022","","3,865",""
"Total annual payroll, 2022 ($1,000)","","185,694",""
"Total employment, percent change, 2021-2022","","5.1%",""
"Total nonemployer establishments, 2022","","1,034",""
"All employer firms, Reference year 2022","","194",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","15",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","124",""
"Veteran-owned employer firms, Reference year 2022","","4",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","46.6",""
"Population per square mile, 2010","","48.0",""
"Land area in square miles, 2020","","447.17",""
"Land area in square miles, 2010","","447.14",""
"FIPS Code","","""18153""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
