"Fact","Fact Note","Tipton County, Indiana","Value Note for Tipton County, Indiana"
"Population estimates, July 1, 2024, (V2024)","","15,324",""
"Population estimates, July 1, 2023, (V2023)","","15,256",""
"Population estimates base, April 1, 2020, (V2024)","","15,352",""
"Population estimates base, April 1, 2020, (V2023)","","15,357",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.7%",""
"Population, Census, April 1, 2020","","15,359",""
"Population, Census, April 1, 2010","","15,936",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","20.4%",""
"Persons 65 years and over, percent","","22.6%",""
"Female persons, percent","","49.6%",""
"White alone, percent","","96.1%",""
"Black alone, percent (a)","(a)","0.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","1.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.6%",""
"Hispanic or Latino, percent (b)","(b)","3.4%",""
"White alone, not Hispanic or Latino, percent","","93.4%",""
"Veterans, 2019-2023","","987",""
"Foreign-born persons, percent, 2019-2023","","1.2%",""
"Housing Units, July 1, 2023, (V2023)","","6,867",""
"Owner-occupied housing unit rate, 2019-2023","","81.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$166,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,221",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$446",""
"Median gross rent, 2019-2023","","$854",""
"Building Permits, 2023","","28",""
"Households, 2019-2023","","6,265",""
"Persons per household, 2019-2023","","2.41",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.8%",""
"Households with a computer, percent, 2019-2023","","95.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","24.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.4%",""
"Persons without health insurance, under age 65 years, percent","","7.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","56.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","25,867",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","79,629",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","6,372",""
"Total retail sales, 2022 ($1,000)","(c)","270,802",""
"Total retail sales per capita, 2022","(c)","$17,671",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.3",""
"Median households income (in 2023 dollars), 2019-2023","","$78,309",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$37,924",""
"Persons in poverty, percent","","9.0%",""
"Total employer establishments, 2022","","311",""
"Total employment, 2022","","4,610",""
"Total annual payroll, 2022 ($1,000)","","213,361",""
"Total employment, percent change, 2021-2022","","3.6%",""
"Total nonemployer establishments, 2022","","1,096",""
"All employer firms, Reference year 2022","","169",""
"Men-owned employer firms, Reference year 2022","","66",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","106",""
"Veteran-owned employer firms, Reference year 2022","","6",""
"Nonveteran-owned employer firms, Reference year 2022","","123",""
"Population per square mile, 2020","","59.0",""
"Population per square mile, 2010","","61.2",""
"Land area in square miles, 2020","","260.54",""
"Land area in square miles, 2010","","260.54",""
"FIPS Code","","""18159""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
