"Fact","Fact Note","Union County, Indiana","Value Note for Union County, Indiana"
"Population estimates, July 1, 2024, (V2024)","","6,884",""
"Population estimates, July 1, 2023, (V2023)","","6,973",""
"Population estimates base, April 1, 2020, (V2024)","","7,084",""
"Population estimates base, April 1, 2020, (V2023)","","7,088",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.6%",""
"Population, Census, April 1, 2020","","7,087",""
"Population, Census, April 1, 2010","","7,516",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","20.9%",""
"Persons 65 years and over, percent","","21.5%",""
"Female persons, percent","","50.2%",""
"White alone, percent","","96.3%",""
"Black alone, percent (a)","(a)","1.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.8%",""
"Hispanic or Latino, percent (b)","(b)","1.4%",""
"White alone, not Hispanic or Latino, percent","","95.0%",""
"Veterans, 2019-2023","","537",""
"Foreign-born persons, percent, 2019-2023","","0.9%",""
"Housing Units, July 1, 2023, (V2023)","","3,267",""
"Owner-occupied housing unit rate, 2019-2023","","82.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$162,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,194",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$529",""
"Median gross rent, 2019-2023","","$792",""
"Building Permits, 2023","","7",""
"Households, 2019-2023","","2,852",""
"Persons per household, 2019-2023","","2.44",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","0.7%",""
"Households with a computer, percent, 2019-2023","","94.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","20.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.7%",""
"Persons without health insurance, under age 65 years, percent","","8.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","65.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","62.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","6,240",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","5,407",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","6,805",""
"Total retail sales, 2022 ($1,000)","(c)","64,869",""
"Total retail sales per capita, 2022","(c)","$9,311",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.7",""
"Median households income (in 2023 dollars), 2019-2023","","$79,500",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$37,356",""
"Persons in poverty, percent","","11.2%",""
"Total employer establishments, 2022","","124",""
"Total employment, 2022","","961",""
"Total annual payroll, 2022 ($1,000)","","35,088",""
"Total employment, percent change, 2021-2022","","-0.2%",""
"Total nonemployer establishments, 2022","","503",""
"All employer firms, Reference year 2022","","78",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","14",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","44.0",""
"Population per square mile, 2010","","46.6",""
"Land area in square miles, 2020","","161.19",""
"Land area in square miles, 2010","","161.22",""
"FIPS Code","","""18161""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
