"Fact","Fact Note","Washington County, Indiana","Value Note for Washington County, Indiana"
"Population estimates, July 1, 2024, (V2024)","","28,345",""
"Population estimates, July 1, 2023, (V2023)","","28,205",""
"Population estimates base, April 1, 2020, (V2024)","","28,161",""
"Population estimates base, April 1, 2020, (V2023)","","28,168",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.1%",""
"Population, Census, April 1, 2020","","28,182",""
"Population, Census, April 1, 2010","","28,262",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","22.3%",""
"Persons 65 years and over, percent","","19.1%",""
"Female persons, percent","","49.9%",""
"White alone, percent","","97.2%",""
"Black alone, percent (a)","(a)","0.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","0.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent (b)","(b)","1.6%",""
"White alone, not Hispanic or Latino, percent","","95.8%",""
"Veterans, 2019-2023","","1,420",""
"Foreign-born persons, percent, 2019-2023","","0.8%",""
"Housing Units, July 1, 2023, (V2023)","","12,281",""
"Owner-occupied housing unit rate, 2019-2023","","82.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$162,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,214",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$408",""
"Median gross rent, 2019-2023","","$760",""
"Building Permits, 2023","","22",""
"Households, 2019-2023","","10,994",""
"Persons per household, 2019-2023","","2.53",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.7%",""
"Households with a computer, percent, 2019-2023","","89.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","81.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","13.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.6%",""
"Persons without health insurance, under age 65 years, percent","","8.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","54.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","72,989",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","532,596",""
"Total retail sales per capita, 2022","(c)","$18,906",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","32.0",""
"Median households income (in 2023 dollars), 2019-2023","","$61,358",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,451",""
"Persons in poverty, percent","","13.0%",""
"Total employer establishments, 2022","","453",""
"Total employment, 2022","","4,576",""
"Total annual payroll, 2022 ($1,000)","","199,371",""
"Total employment, percent change, 2021-2022","","1.6%",""
"Total nonemployer establishments, 2022","","1,893",""
"All employer firms, Reference year 2022","","414",""
"Men-owned employer firms, Reference year 2022","","275",""
"Women-owned employer firms, Reference year 2022","","42",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","345",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","318",""
"Population per square mile, 2020","","54.9",""
"Population per square mile, 2010","","55.0",""
"Land area in square miles, 2020","","513.69",""
"Land area in square miles, 2010","","513.73",""
"FIPS Code","","""18175""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
