"Fact","Fact Note","Cedar County, Iowa","Value Note for Cedar County, Iowa"
"Population estimates, July 1, 2024, (V2024)","","18,231",""
"Population estimates, July 1, 2023, (V2023)","","18,302",""
"Population estimates base, April 1, 2020, (V2024)","","18,487",""
"Population estimates base, April 1, 2020, (V2023)","","18,500",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.1%",""
"Population, Census, April 1, 2020","","18,505",""
"Population, Census, April 1, 2010","","18,499",""
"Persons under 5 years, percent","","4.7%",""
"Persons under 18 years, percent","","20.9%",""
"Persons 65 years and over, percent","","22.0%",""
"Female persons, percent","","49.9%",""
"White alone, percent","","96.4%",""
"Black alone, percent (a)","(a)","1.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","2.7%",""
"White alone, not Hispanic or Latino, percent","","94.1%",""
"Veterans, 2019-2023","","1,223",""
"Foreign-born persons, percent, 2019-2023","","1.3%",""
"Housing Units, July 1, 2023, (V2023)","","8,365",""
"Owner-occupied housing unit rate, 2019-2023","","80.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$199,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,454",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$617",""
"Median gross rent, 2019-2023","","$860",""
"Building Permits, 2023","","107",""
"Households, 2019-2023","","7,539",""
"Persons per household, 2019-2023","","2.41",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.6%",""
"Households with a computer, percent, 2019-2023","","90.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","95.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","21.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.0%",""
"Persons without health insurance, under age 65 years, percent","","4.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","62.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","34,294",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","95,909",""
"Total retail sales, 2022 ($1,000)","(c)","279,431",""
"Total retail sales per capita, 2022","(c)","$15,225",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.4",""
"Median households income (in 2023 dollars), 2019-2023","","$79,080",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,775",""
"Persons in poverty, percent","","7.9%",""
"Total employer establishments, 2022","","466",""
"Total employment, 2022","","4,141",""
"Total annual payroll, 2022 ($1,000)","","180,445",""
"Total employment, percent change, 2021-2022","","2.0%",""
"Total nonemployer establishments, 2022","","1,321",""
"All employer firms, Reference year 2022","","355",""
"Men-owned employer firms, Reference year 2022","","155",""
"Women-owned employer firms, Reference year 2022","","98",""
"Minority-owned employer firms, Reference year 2022","","5",""
"Nonminority-owned employer firms, Reference year 2022","","293",""
"Veteran-owned employer firms, Reference year 2022","","13",""
"Nonveteran-owned employer firms, Reference year 2022","","288",""
"Population per square mile, 2020","","31.9",""
"Population per square mile, 2010","","31.9",""
"Land area in square miles, 2020","","579.46",""
"Land area in square miles, 2010","","579.44",""
"FIPS Code","","""19031""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
