"Fact","Fact Note","Clarke County, Iowa","Value Note for Clarke County, Iowa"
"Population estimates, July 1, 2024, (V2024)","","9,524",""
"Population estimates, July 1, 2023, (V2023)","","9,588",""
"Population estimates base, April 1, 2020, (V2024)","","9,747",""
"Population estimates base, April 1, 2020, (V2023)","","9,754",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.7%",""
"Population, Census, April 1, 2020","","9,748",""
"Population, Census, April 1, 2010","","9,286",""
"Persons under 5 years, percent","","6.6%",""
"Persons under 18 years, percent","","25.7%",""
"Persons 65 years and over, percent","","19.3%",""
"Female persons, percent","","48.9%",""
"White alone, percent","","94.1%",""
"Black alone, percent (a)","(a)","1.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.3%",""
"Asian alone, percent (a)","(a)","1.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.4%",""
"Two or More Races, percent","","1.6%",""
"Hispanic or Latino, percent (b)","(b)","17.2%",""
"White alone, not Hispanic or Latino, percent","","78.7%",""
"Veterans, 2019-2023","","517",""
"Foreign-born persons, percent, 2019-2023","","6.1%",""
"Housing Units, July 1, 2023, (V2023)","","4,626",""
"Owner-occupied housing unit rate, 2019-2023","","69.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$160,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,452",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$667",""
"Median gross rent, 2019-2023","","$836",""
"Building Permits, 2023","","129",""
"Households, 2019-2023","","4,001",""
"Persons per household, 2019-2023","","2.38",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","83.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","13.1%",""
"Households with a computer, percent, 2019-2023","","90.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","16.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.8%",""
"Persons without health insurance, under age 65 years, percent","","6.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","42,570",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","67,113",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","33,514",""
"Total retail sales, 2022 ($1,000)","(c)","229,234",""
"Total retail sales per capita, 2022","(c)","$23,772",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.8",""
"Median households income (in 2023 dollars), 2019-2023","","$66,821",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$35,360",""
"Persons in poverty, percent","","10.5%",""
"Total employer establishments, 2022","","185",""
"Total employment, 2022","","3,578",""
"Total annual payroll, 2022 ($1,000)","","160,121",""
"Total employment, percent change, 2021-2022","","6.9%",""
"Total nonemployer establishments, 2022","","575",""
"All employer firms, Reference year 2022","","143",""
"Men-owned employer firms, Reference year 2022","","62",""
"Women-owned employer firms, Reference year 2022","","34",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","97",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","96",""
"Population per square mile, 2020","","22.6",""
"Population per square mile, 2010","","21.5",""
"Land area in square miles, 2020","","431.11",""
"Land area in square miles, 2010","","431.17",""
"FIPS Code","","""19039""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
