"Fact","Fact Note","Crawford County, Iowa","Value Note for Crawford County, Iowa"
"Population estimates, July 1, 2024, (V2024)","","16,378",""
"Population estimates, July 1, 2023, (V2023)","","16,013",""
"Population estimates base, April 1, 2020, (V2024)","","16,526",""
"Population estimates base, April 1, 2020, (V2023)","","16,519",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-3.1%",""
"Population, Census, April 1, 2020","","16,525",""
"Population, Census, April 1, 2010","","17,096",""
"Persons under 5 years, percent","","6.8%",""
"Persons under 18 years, percent","","24.7%",""
"Persons 65 years and over, percent","","18.9%",""
"Female persons, percent","","48.4%",""
"White alone, percent","","90.4%",""
"Black alone, percent (a)","(a)","3.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.2%",""
"Asian alone, percent (a)","(a)","2.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.4%",""
"Two or More Races, percent","","1.1%",""
"Hispanic or Latino, percent (b)","(b)","31.0%",""
"White alone, not Hispanic or Latino, percent","","62.3%",""
"Veterans, 2019-2023","","704",""
"Foreign-born persons, percent, 2019-2023","","15.9%",""
"Housing Units, July 1, 2023, (V2023)","","6,859",""
"Owner-occupied housing unit rate, 2019-2023","","78.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$136,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,208",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$515",""
"Median gross rent, 2019-2023","","$727",""
"Building Permits, 2023","","16",""
"Households, 2019-2023","","6,229",""
"Persons per household, 2019-2023","","2.54",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","27.8%",""
"Households with a computer, percent, 2019-2023","","93.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","18.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.9%",""
"Persons without health insurance, under age 65 years, percent","","9.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","22,358",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","93,002",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","87,315",""
"Total retail sales, 2022 ($1,000)","(c)","206,425",""
"Total retail sales per capita, 2022","(c)","$12,798",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","17.9",""
"Median households income (in 2023 dollars), 2019-2023","","$65,039",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,731",""
"Persons in poverty, percent","","11.2%",""
"Total employer establishments, 2022","","417",""
"Total employment, 2022","","5,022",""
"Total annual payroll, 2022 ($1,000)","","237,941",""
"Total employment, percent change, 2021-2022","","-8.7%",""
"Total nonemployer establishments, 2022","","975",""
"All employer firms, Reference year 2022","","433",""
"Men-owned employer firms, Reference year 2022","","247",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","44",""
"Nonminority-owned employer firms, Reference year 2022","","323",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","314",""
"Population per square mile, 2020","","23.1",""
"Population per square mile, 2010","","23.9",""
"Land area in square miles, 2020","","714.20",""
"Land area in square miles, 2010","","714.19",""
"FIPS Code","","""19047""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
