"Fact","Fact Note","Delaware County, Iowa","Value Note for Delaware County, Iowa"
"Population estimates, July 1, 2024, (V2024)","","17,609",""
"Population estimates, July 1, 2023, (V2023)","","17,600",""
"Population estimates base, April 1, 2020, (V2024)","","17,479",""
"Population estimates base, April 1, 2020, (V2023)","","17,484",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.7%",""
"Population, Census, April 1, 2020","","17,488",""
"Population, Census, April 1, 2010","","17,764",""
"Persons under 5 years, percent","","5.9%",""
"Persons under 18 years, percent","","23.1%",""
"Persons 65 years and over, percent","","22.3%",""
"Female persons, percent","","49.1%",""
"White alone, percent","","97.5%",""
"Black alone, percent (a)","(a)","1.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.2%",""
"Asian alone, percent (a)","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","0.8%",""
"Hispanic or Latino, percent (b)","(b)","1.8%",""
"White alone, not Hispanic or Latino, percent","","95.9%",""
"Veterans, 2019-2023","","793",""
"Foreign-born persons, percent, 2019-2023","","0.2%",""
"Housing Units, July 1, 2023, (V2023)","","8,201",""
"Owner-occupied housing unit rate, 2019-2023","","82.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$168,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,422",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$604",""
"Median gross rent, 2019-2023","","$743",""
"Building Permits, 2023","","30",""
"Households, 2019-2023","","7,176",""
"Persons per household, 2019-2023","","2.41",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","93.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.6%",""
"Households with a computer, percent, 2019-2023","","89.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","19.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.0%",""
"Persons without health insurance, under age 65 years, percent","","5.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","69.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","64.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","15,480",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","105,595",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","56,910",""
"Total retail sales, 2022 ($1,000)","(c)","259,988",""
"Total retail sales per capita, 2022","(c)","$14,766",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.5",""
"Median households income (in 2023 dollars), 2019-2023","","$76,205",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$40,940",""
"Persons in poverty, percent","","8.7%",""
"Total employer establishments, 2022","","537",""
"Total employment, 2022","","5,851",""
"Total annual payroll, 2022 ($1,000)","","282,248",""
"Total employment, percent change, 2021-2022","","-0.1%",""
"Total nonemployer establishments, 2022","","1,468",""
"All employer firms, Reference year 2022","","392",""
"Men-owned employer firms, Reference year 2022","","209",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","331",""
"Veteran-owned employer firms, Reference year 2022","","17",""
"Nonveteran-owned employer firms, Reference year 2022","","316",""
"Population per square mile, 2020","","30.3",""
"Population per square mile, 2010","","30.7",""
"Land area in square miles, 2020","","577.68",""
"Land area in square miles, 2010","","577.76",""
"FIPS Code","","""19055""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
