"Fact","Fact Note","Hamilton County, Iowa","Value Note for Hamilton County, Iowa"
"Population estimates, July 1, 2024, (V2024)","","14,856",""
"Population estimates, July 1, 2023, (V2023)","","14,729",""
"Population estimates base, April 1, 2020, (V2024)","","15,039",""
"Population estimates base, April 1, 2020, (V2023)","","15,037",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.0%",""
"Population, Census, April 1, 2020","","15,039",""
"Population, Census, April 1, 2010","","15,673",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","23.6%",""
"Persons 65 years and over, percent","","21.5%",""
"Female persons, percent","","49.8%",""
"White alone, percent","","93.3%",""
"Black alone, percent (a)","(a)","1.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.9%",""
"Asian alone, percent (a)","(a)","2.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent (b)","(b)","9.9%",""
"White alone, not Hispanic or Latino, percent","","84.9%",""
"Veterans, 2019-2023","","903",""
"Foreign-born persons, percent, 2019-2023","","6.7%",""
"Housing Units, July 1, 2023, (V2023)","","7,061",""
"Owner-occupied housing unit rate, 2019-2023","","73.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$132,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,233",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$550",""
"Median gross rent, 2019-2023","","$853",""
"Building Permits, 2023","","36",""
"Households, 2019-2023","","6,317",""
"Persons per household, 2019-2023","","2.33",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","92.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","10.2%",""
"Households with a computer, percent, 2019-2023","","88.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","22.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.6%",""
"Persons without health insurance, under age 65 years, percent","","5.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","18,350",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","69,886",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","14,941",""
"Total retail sales, 2022 ($1,000)","(c)","391,133",""
"Total retail sales per capita, 2022","(c)","$26,423",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.7",""
"Median households income (in 2023 dollars), 2019-2023","","$71,750",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,075",""
"Persons in poverty, percent","","8.5%",""
"Total employer establishments, 2022","","370",""
"Total employment, 2022","","4,491",""
"Total annual payroll, 2022 ($1,000)","","225,240",""
"Total employment, percent change, 2021-2022","","3.2%",""
"Total nonemployer establishments, 2022","","1,061",""
"All employer firms, Reference year 2022","","308",""
"Men-owned employer firms, Reference year 2022","","170",""
"Women-owned employer firms, Reference year 2022","","31",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","250",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","233",""
"Population per square mile, 2020","","26.1",""
"Population per square mile, 2010","","27.2",""
"Land area in square miles, 2020","","576.73",""
"Land area in square miles, 2010","","576.75",""
"FIPS Code","","""19079""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
