"Fact","Fact Note","Henry County, Iowa","Value Note for Henry County, Iowa"
"Population estimates, July 1, 2024, (V2024)","","19,361",""
"Population estimates, July 1, 2023, (V2023)","","19,547",""
"Population estimates base, April 1, 2020, (V2024)","","20,482",""
"Population estimates base, April 1, 2020, (V2023)","","20,482",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-5.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-4.6%",""
"Population, Census, April 1, 2020","","20,482",""
"Population, Census, April 1, 2010","","20,145",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","21.0%",""
"Persons 65 years and over, percent","","20.8%",""
"Female persons, percent","","47.7%",""
"White alone, percent","","92.8%",""
"Black alone, percent (a)","(a)","2.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","2.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.8%",""
"Hispanic or Latino, percent (b)","(b)","5.5%",""
"White alone, not Hispanic or Latino, percent","","88.0%",""
"Veterans, 2019-2023","","1,148",""
"Foreign-born persons, percent, 2019-2023","","2.4%",""
"Housing Units, July 1, 2023, (V2023)","","8,495",""
"Owner-occupied housing unit rate, 2019-2023","","74.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$148,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,237",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$574",""
"Median gross rent, 2019-2023","","$770",""
"Building Permits, 2023","","41",""
"Households, 2019-2023","","7,617",""
"Persons per household, 2019-2023","","2.44",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.0%",""
"Households with a computer, percent, 2019-2023","","92.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","85.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","22.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.4%",""
"Persons without health insurance, under age 65 years, percent","","5.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","58.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","24,413",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","125,590",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","51,968",""
"Total retail sales, 2022 ($1,000)","(c)","392,554",""
"Total retail sales per capita, 2022","(c)","$19,383",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","18.8",""
"Median households income (in 2023 dollars), 2019-2023","","$64,604",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$31,084",""
"Persons in poverty, percent","","12.7%",""
"Total employer establishments, 2022","","465",""
"Total employment, 2022","","7,129",""
"Total annual payroll, 2022 ($1,000)","","298,904",""
"Total employment, percent change, 2021-2022","","-1.6%",""
"Total nonemployer establishments, 2022","","1,285",""
"All employer firms, Reference year 2022","","342",""
"Men-owned employer firms, Reference year 2022","","201",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","277",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","256",""
"Population per square mile, 2020","","47.2",""
"Population per square mile, 2010","","46.4",""
"Land area in square miles, 2020","","434.29",""
"Land area in square miles, 2010","","434.33",""
"FIPS Code","","""19087""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
