"Fact","Fact Note","Iowa County, Iowa","Value Note for Iowa County, Iowa"
"Population estimates, July 1, 2024, (V2024)","","16,423",""
"Population estimates, July 1, 2023, (V2023)","","16,381",""
"Population estimates base, April 1, 2020, (V2024)","","16,660",""
"Population estimates base, April 1, 2020, (V2023)","","16,665",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.7%",""
"Population, Census, April 1, 2020","","16,662",""
"Population, Census, April 1, 2010","","16,355",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","23.1%",""
"Persons 65 years and over, percent","","20.7%",""
"Female persons, percent","","49.1%",""
"White alone, percent","","96.9%",""
"Black alone, percent (a)","(a)","0.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.2%",""
"Hispanic or Latino, percent (b)","(b)","3.7%",""
"White alone, not Hispanic or Latino, percent","","93.8%",""
"Veterans, 2019-2023","","990",""
"Foreign-born persons, percent, 2019-2023","","0.9%",""
"Housing Units, July 1, 2023, (V2023)","","7,370",""
"Owner-occupied housing unit rate, 2019-2023","","76.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$189,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,481",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$615",""
"Median gross rent, 2019-2023","","$722",""
"Building Permits, 2023","","12",""
"Households, 2019-2023","","6,849",""
"Persons per household, 2019-2023","","2.37",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.2%",""
"Households with a computer, percent, 2019-2023","","94.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","24.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.3%",""
"Persons without health insurance, under age 65 years, percent","","4.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","67.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","63.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","21,916",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","103,756",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","34,158",""
"Total retail sales, 2022 ($1,000)","(c)","302,149",""
"Total retail sales per capita, 2022","(c)","$18,315",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.7",""
"Median households income (in 2023 dollars), 2019-2023","","$72,185",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$39,363",""
"Persons in poverty, percent","","7.6%",""
"Total employer establishments, 2022","","481",""
"Total employment, 2022","","7,513",""
"Total annual payroll, 2022 ($1,000)","","330,143",""
"Total employment, percent change, 2021-2022","","-1.5%",""
"Total nonemployer establishments, 2022","","1,203",""
"All employer firms, Reference year 2022","","488",""
"Men-owned employer firms, Reference year 2022","","278",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","419",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","417",""
"Population per square mile, 2020","","28.4",""
"Population per square mile, 2010","","27.9",""
"Land area in square miles, 2020","","586.46",""
"Land area in square miles, 2010","","586.46",""
"FIPS Code","","""19095""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
