"Fact","Fact Note","Marion County, Iowa","Value Note for Marion County, Iowa"
"Population estimates, July 1, 2024, (V2024)","","34,048",""
"Population estimates, July 1, 2023, (V2023)","","33,770",""
"Population estimates base, April 1, 2020, (V2024)","","33,417",""
"Population estimates base, April 1, 2020, (V2023)","","33,418",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.1%",""
"Population, Census, April 1, 2020","","33,414",""
"Population, Census, April 1, 2010","","33,309",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","23.1%",""
"Persons 65 years and over, percent","","19.9%",""
"Female persons, percent","","49.6%",""
"White alone, percent","","95.8%",""
"Black alone, percent (a)","(a)","1.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","1.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent (b)","(b)","2.3%",""
"White alone, not Hispanic or Latino, percent","","93.8%",""
"Veterans, 2019-2023","","1,809",""
"Foreign-born persons, percent, 2019-2023","","2.0%",""
"Housing Units, July 1, 2023, (V2023)","","14,509",""
"Owner-occupied housing unit rate, 2019-2023","","77.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$211,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,458",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$594",""
"Median gross rent, 2019-2023","","$880",""
"Building Permits, 2023","","119",""
"Households, 2019-2023","","13,409",""
"Persons per household, 2019-2023","","2.38",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.9%",""
"Households with a computer, percent, 2019-2023","","93.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","33.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.9%",""
"Persons without health insurance, under age 65 years, percent","","4.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","60.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","57,638",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","251,600",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","54,823",""
"Total retail sales, 2022 ($1,000)","(c)","526,897",""
"Total retail sales per capita, 2022","(c)","$15,667",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.4",""
"Median households income (in 2023 dollars), 2019-2023","","$78,059",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$40,540",""
"Persons in poverty, percent","","8.0%",""
"Total employer establishments, 2022","","863",""
"Total employment, 2022","","17,871",""
"Total annual payroll, 2022 ($1,000)","","1,087,142",""
"Total employment, percent change, 2021-2022","","4.7%",""
"Total nonemployer establishments, 2022","","2,427",""
"All employer firms, Reference year 2022","","693",""
"Men-owned employer firms, Reference year 2022","","374",""
"Women-owned employer firms, Reference year 2022","","113",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","580",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","588",""
"Population per square mile, 2020","","60.3",""
"Population per square mile, 2010","","60.1",""
"Land area in square miles, 2020","","554.49",""
"Land area in square miles, 2010","","554.53",""
"FIPS Code","","""19125""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
