"Fact","Fact Note","O'Brien County, Iowa","Value Note for O'Brien County, Iowa"
"Population estimates, July 1, 2024, (V2024)","","14,260",""
"Population estimates, July 1, 2023, (V2023)","","14,012",""
"Population estimates base, April 1, 2020, (V2024)","","14,180",""
"Population estimates base, April 1, 2020, (V2023)","","14,181",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.2%",""
"Population, Census, April 1, 2020","","14,182",""
"Population, Census, April 1, 2010","","14,398",""
"Persons under 5 years, percent","","6.7%",""
"Persons under 18 years, percent","","24.6%",""
"Persons 65 years and over, percent","","21.4%",""
"Female persons, percent","","49.0%",""
"White alone, percent","","95.0%",""
"Black alone, percent (a)","(a)","1.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","7.8%",""
"White alone, not Hispanic or Latino, percent","","88.2%",""
"Veterans, 2019-2023","","639",""
"Foreign-born persons, percent, 2019-2023","","4.2%",""
"Housing Units, July 1, 2023, (V2023)","","6,580",""
"Owner-occupied housing unit rate, 2019-2023","","77.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$158,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,296",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$497",""
"Median gross rent, 2019-2023","","$770",""
"Building Permits, 2023","","66",""
"Households, 2019-2023","","5,791",""
"Persons per household, 2019-2023","","2.36",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.0%",""
"Households with a computer, percent, 2019-2023","","92.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","22.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.9%",""
"Persons without health insurance, under age 65 years, percent","","5.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","12,885",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","92,866",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","133,530",""
"Total retail sales, 2022 ($1,000)","(c)","215,815",""
"Total retail sales per capita, 2022","(c)","$15,322",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","18.4",""
"Median households income (in 2023 dollars), 2019-2023","","$68,216",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$34,346",""
"Persons in poverty, percent","","9.1%",""
"Total employer establishments, 2022","","498",""
"Total employment, 2022","","5,331",""
"Total annual payroll, 2022 ($1,000)","","218,223",""
"Total employment, percent change, 2021-2022","","2.1%",""
"Total nonemployer establishments, 2022","","986",""
"All employer firms, Reference year 2022","","388",""
"Men-owned employer firms, Reference year 2022","","204",""
"Women-owned employer firms, Reference year 2022","","43",""
"Minority-owned employer firms, Reference year 2022","","5",""
"Nonminority-owned employer firms, Reference year 2022","","325",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","300",""
"Population per square mile, 2020","","24.7",""
"Population per square mile, 2010","","25.1",""
"Land area in square miles, 2020","","573.04",""
"Land area in square miles, 2010","","573.04",""
"FIPS Code","","""19141""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
