"Fact","Fact Note","Story County, Iowa","Value Note for Story County, Iowa"
"Population estimates, July 1, 2024, (V2024)","","102,498",""
"Population estimates, July 1, 2023, (V2023)","","98,566",""
"Population estimates base, April 1, 2020, (V2024)","","98,534",""
"Population estimates base, April 1, 2020, (V2023)","","98,533",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","Z",""
"Population, Census, April 1, 2020","","98,537",""
"Population, Census, April 1, 2010","","89,542",""
"Persons under 5 years, percent","","4.2%",""
"Persons under 18 years, percent","","16.5%",""
"Persons 65 years and over, percent","","13.8%",""
"Female persons, percent","","47.6%",""
"White alone, percent","","87.0%",""
"Black alone, percent (a)","(a)","3.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","7.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent (b)","(b)","5.2%",""
"White alone, not Hispanic or Latino, percent","","82.6%",""
"Veterans, 2019-2023","","3,600",""
"Foreign-born persons, percent, 2019-2023","","8.3%",""
"Housing Units, July 1, 2023, (V2023)","","42,154",""
"Owner-occupied housing unit rate, 2019-2023","","56.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$243,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,685",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$669",""
"Median gross rent, 2019-2023","","$1,019",""
"Building Permits, 2023","","165",""
"Households, 2019-2023","","38,708",""
"Persons per household, 2019-2023","","2.23",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","71.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","10.9%",""
"Households with a computer, percent, 2019-2023","","96.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","78.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","97.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","53.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","6.9%",""
"Persons without health insurance, under age 65 years, percent","","4.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","65.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","64.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","263,084",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","731,285",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","89,041",""
"Total retail sales, 2022 ($1,000)","(c)","1,602,441",""
"Total retail sales per capita, 2022","(c)","$16,309",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","18.2",""
"Median households income (in 2023 dollars), 2019-2023","","$69,006",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$37,933",""
"Persons in poverty, percent","","14.9%",""
"Total employer establishments, 2022","","2,168",""
"Total employment, 2022","","32,981",""
"Total annual payroll, 2022 ($1,000)","","1,777,401",""
"Total employment, percent change, 2021-2022","","5.2%",""
"Total nonemployer establishments, 2022","","5,977",""
"All employer firms, Reference year 2022","","1,880",""
"Men-owned employer firms, Reference year 2022","","947",""
"Women-owned employer firms, Reference year 2022","","453",""
"Minority-owned employer firms, Reference year 2022","","75",""
"Nonminority-owned employer firms, Reference year 2022","","1,526",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","1,509",""
"Population per square mile, 2020","","172.1",""
"Population per square mile, 2010","","156.3",""
"Land area in square miles, 2020","","572.54",""
"Land area in square miles, 2010","","572.82",""
"FIPS Code","","""19169""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
