"Fact","Fact Note","Worth County, Iowa","Value Note for Worth County, Iowa"
"Population estimates, July 1, 2024, (V2024)","","7,307",""
"Population estimates, July 1, 2023, (V2023)","","7,297",""
"Population estimates base, April 1, 2020, (V2024)","","7,439",""
"Population estimates base, April 1, 2020, (V2023)","","7,445",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.0%",""
"Population, Census, April 1, 2020","","7,443",""
"Population, Census, April 1, 2010","","7,598",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","21.3%",""
"Persons 65 years and over, percent","","23.1%",""
"Female persons, percent","","48.7%",""
"White alone, percent","","96.2%",""
"Black alone, percent (a)","(a)","1.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","3.7%",""
"White alone, not Hispanic or Latino, percent","","93.1%",""
"Veterans, 2019-2023","","605",""
"Foreign-born persons, percent, 2019-2023","","0.6%",""
"Housing Units, July 1, 2023, (V2023)","","3,471",""
"Owner-occupied housing unit rate, 2019-2023","","81.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$142,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,163",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$522",""
"Median gross rent, 2019-2023","","$703",""
"Building Permits, 2023","","1",""
"Households, 2019-2023","","3,195",""
"Persons per household, 2019-2023","","2.28",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.3%",""
"Households with a computer, percent, 2019-2023","","88.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","20.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.0%",""
"Persons without health insurance, under age 65 years, percent","","5.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","69.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","66.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","6,003",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","10,959",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","6,409",""
"Total retail sales, 2022 ($1,000)","(c)","51,471",""
"Total retail sales per capita, 2022","(c)","$7,040",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.3",""
"Median households income (in 2023 dollars), 2019-2023","","$76,875",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,232",""
"Persons in poverty, percent","","9.2%",""
"Total employer establishments, 2022","","175",""
"Total employment, 2022","","1,676",""
"Total annual payroll, 2022 ($1,000)","","72,149",""
"Total employment, percent change, 2021-2022","","-0.8%",""
"Total nonemployer establishments, 2022","","589",""
"All employer firms, Reference year 2022","","153",""
"Men-owned employer firms, Reference year 2022","","89",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","128",""
"Veteran-owned employer firms, Reference year 2022","","8",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","18.6",""
"Population per square mile, 2010","","19.0",""
"Land area in square miles, 2020","","400.12",""
"Land area in square miles, 2010","","400.12",""
"FIPS Code","","""19195""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
