"Fact","Fact Note","Kingman County, Kansas","Value Note for Kingman County, Kansas"
"Population estimates, July 1, 2024, (V2024)","","6,946",""
"Population estimates, July 1, 2023, (V2023)","","7,066",""
"Population estimates base, April 1, 2020, (V2024)","","7,468",""
"Population estimates base, April 1, 2020, (V2023)","","7,473",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-7.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-5.4%",""
"Population, Census, April 1, 2020","","7,470",""
"Population, Census, April 1, 2010","","7,858",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","23.5%",""
"Persons 65 years and over, percent","","19.3%",""
"Female persons, percent","","49.2%",""
"White alone, percent","","95.6%",""
"Black alone, percent (a)","(a)","0.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.1%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent (b)","(b)","4.4%",""
"White alone, not Hispanic or Latino, percent","","91.7%",""
"Veterans, 2019-2023","","346",""
"Foreign-born persons, percent, 2019-2023","","0.3%",""
"Housing Units, July 1, 2023, (V2023)","","3,701",""
"Owner-occupied housing unit rate, 2019-2023","","69.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$107,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,222",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$541",""
"Median gross rent, 2019-2023","","$807",""
"Building Permits, 2023","","53",""
"Households, 2019-2023","","3,088",""
"Persons per household, 2019-2023","","2.31",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","82.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.9%",""
"Households with a computer, percent, 2019-2023","","91.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","82.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","23.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.2%",""
"Persons without health insurance, under age 65 years, percent","","10.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","34,207",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","19,974",""
"Total retail sales, 2022 ($1,000)","(c)","65,662",""
"Total retail sales per capita, 2022","(c)","$9,153",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.2",""
"Median households income (in 2023 dollars), 2019-2023","","$59,819",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,969",""
"Persons in poverty, percent","","11.9%",""
"Total employer establishments, 2022","","206",""
"Total employment, 2022","","1,884",""
"Total annual payroll, 2022 ($1,000)","","84,915",""
"Total employment, percent change, 2021-2022","","3.6%",""
"Total nonemployer establishments, 2022","","649",""
"All employer firms, Reference year 2022","","217",""
"Men-owned employer firms, Reference year 2022","","137",""
"Women-owned employer firms, Reference year 2022","","40",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","190",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","191",""
"Population per square mile, 2020","","8.7",""
"Population per square mile, 2010","","9.1",""
"Land area in square miles, 2020","","863.42",""
"Land area in square miles, 2010","","863.36",""
"FIPS Code","","""20095""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
