"Fact","Fact Note","Trego County, Kansas","Value Note for Trego County, Kansas"
"Population estimates, July 1, 2024, (V2024)","","2,774",""
"Population estimates, July 1, 2023, (V2023)","","2,731",""
"Population estimates base, April 1, 2020, (V2024)","","2,806",""
"Population estimates base, April 1, 2020, (V2023)","","2,805",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.6%",""
"Population, Census, April 1, 2020","","2,808",""
"Population, Census, April 1, 2010","","3,001",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","19.2%",""
"Persons 65 years and over, percent","","27.6%",""
"Female persons, percent","","50.0%",""
"White alone, percent","","96.3%",""
"Black alone, percent (a)","(a)","0.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.8%",""
"Hispanic or Latino, percent (b)","(b)","3.4%",""
"White alone, not Hispanic or Latino, percent","","93.3%",""
"Veterans, 2019-2023","","164",""
"Foreign-born persons, percent, 2019-2023","","0.5%",""
"Housing Units, July 1, 2023, (V2023)","","1,606",""
"Owner-occupied housing unit rate, 2019-2023","","77.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$115,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,131",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$487",""
"Median gross rent, 2019-2023","","$694",""
"Building Permits, 2023","","2",""
"Households, 2019-2023","","1,346",""
"Persons per household, 2019-2023","","2.02",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","95.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","0.7%",""
"Households with a computer, percent, 2019-2023","","93.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","96.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","28.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","4.1%",""
"Persons without health insurance, under age 65 years, percent","","10.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","54.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","8,496",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","24,735",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","51,512",""
"Total retail sales per capita, 2022","(c)","$18,759",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","15.7",""
"Median households income (in 2023 dollars), 2019-2023","","$73,375",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$43,336",""
"Persons in poverty, percent","","10.7%",""
"Total employer establishments, 2022","","125",""
"Total employment, 2022","","768",""
"Total annual payroll, 2022 ($1,000)","","29,153",""
"Total employment, percent change, 2021-2022","","-2.9%",""
"Total nonemployer establishments, 2022","","300",""
"All employer firms, Reference year 2022","","120",""
"Men-owned employer firms, Reference year 2022","","90",""
"Women-owned employer firms, Reference year 2022","","5",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","113",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","109",""
"Population per square mile, 2020","","3.2",""
"Population per square mile, 2010","","3.4",""
"Land area in square miles, 2020","","889.47",""
"Land area in square miles, 2010","","889.48",""
"FIPS Code","","""20195""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
