"Fact","Fact Note","Breathitt County, Kentucky","Value Note for Breathitt County, Kentucky"
"Population estimates, July 1, 2024, (V2024)","","12,804",""
"Population estimates, July 1, 2023, (V2023)","","12,953",""
"Population estimates base, April 1, 2020, (V2024)","","13,722",""
"Population estimates base, April 1, 2020, (V2023)","","13,715",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-6.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-5.6%",""
"Population, Census, April 1, 2020","","13,718",""
"Population, Census, April 1, 2010","","13,878",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","21.1%",""
"Persons 65 years and over, percent","","19.4%",""
"Female persons, percent","","49.8%",""
"White alone, percent","","97.3%",""
"Black alone, percent (a)","(a)","0.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.2%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.1%",""
"Hispanic or Latino, percent (b)","(b)","1.1%",""
"White alone, not Hispanic or Latino, percent","","96.4%",""
"Veterans, 2019-2023","","442",""
"Foreign-born persons, percent, 2019-2023","","0.7%",""
"Housing Units, July 1, 2023, (V2023)","","6,512",""
"Owner-occupied housing unit rate, 2019-2023","","74.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$61,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,083",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$346",""
"Median gross rent, 2019-2023","","$543",""
"Building Permits, 2023","","1",""
"Households, 2019-2023","","5,532",""
"Persons per household, 2019-2023","","2.38",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","92.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.2%",""
"Households with a computer, percent, 2019-2023","","84.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","78.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","80.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","16.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","26.0%",""
"Persons without health insurance, under age 65 years, percent","","6.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","46.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","44.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","13,171",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","78,709",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","15,416",""
"Total retail sales, 2022 ($1,000)","(c)","139,531",""
"Total retail sales per capita, 2022","(c)","$10,446",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","30.4",""
"Median households income (in 2023 dollars), 2019-2023","","$41,101",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$23,544",""
"Persons in poverty, percent","","30.3%",""
"Total employer establishments, 2022","","157",""
"Total employment, 2022","","1,897",""
"Total annual payroll, 2022 ($1,000)","","65,082",""
"Total employment, percent change, 2021-2022","","-1.2%",""
"Total nonemployer establishments, 2022","","573",""
"All employer firms, Reference year 2022","","109",""
"Men-owned employer firms, Reference year 2022","","59",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","27.9",""
"Population per square mile, 2010","","28.2",""
"Land area in square miles, 2020","","492.42",""
"Land area in square miles, 2010","","492.41",""
"FIPS Code","","""21025""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
