"Fact","Fact Note","Butler County, Kentucky","Value Note for Butler County, Kentucky"
"Population estimates, July 1, 2024, (V2024)","","12,551",""
"Population estimates, July 1, 2023, (V2023)","","12,375",""
"Population estimates base, April 1, 2020, (V2024)","","12,369",""
"Population estimates base, April 1, 2020, (V2023)","","12,369",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","Z",""
"Population, Census, April 1, 2020","","12,371",""
"Population, Census, April 1, 2010","","12,690",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","23.1%",""
"Persons 65 years and over, percent","","19.6%",""
"Female persons, percent","","49.3%",""
"White alone, percent","","96.3%",""
"Black alone, percent (a)","(a)","0.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.0%",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","5.6%",""
"White alone, not Hispanic or Latino, percent","","91.7%",""
"Veterans, 2019-2023","","664",""
"Foreign-born persons, percent, 2019-2023","","2.3%",""
"Housing Units, July 1, 2023, (V2023)","","5,482",""
"Owner-occupied housing unit rate, 2019-2023","","73.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$105,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,093",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$338",""
"Median gross rent, 2019-2023","","$688",""
"Building Permits, 2023","","7",""
"Households, 2019-2023","","4,561",""
"Persons per household, 2019-2023","","2.67",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.6%",""
"Households with a computer, percent, 2019-2023","","86.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","78.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","82.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","9.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","14.9%",""
"Persons without health insurance, under age 65 years, percent","","9.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","51.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","43.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","61,514",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","86,066",""
"Total retail sales per capita, 2022","(c)","$6,960",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.5",""
"Median households income (in 2023 dollars), 2019-2023","","$52,003",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$25,198",""
"Persons in poverty, percent","","15.0%",""
"Total employer establishments, 2022","","186",""
"Total employment, 2022","","2,062",""
"Total annual payroll, 2022 ($1,000)","","94,464",""
"Total employment, percent change, 2021-2022","","5.3%",""
"Total nonemployer establishments, 2022","","865",""
"All employer firms, Reference year 2022","","185",""
"Men-owned employer firms, Reference year 2022","","123",""
"Women-owned employer firms, Reference year 2022","","16",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","164",""
"Veteran-owned employer firms, Reference year 2022","","5",""
"Nonveteran-owned employer firms, Reference year 2022","","160",""
"Population per square mile, 2020","","29.0",""
"Population per square mile, 2010","","29.8",""
"Land area in square miles, 2020","","426.09",""
"Land area in square miles, 2010","","426.09",""
"FIPS Code","","""21031""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
