"Fact","Fact Note","Knox County, Kentucky","Value Note for Knox County, Kentucky"
"Population estimates, July 1, 2024, (V2024)","","29,657",""
"Population estimates, July 1, 2023, (V2023)","","29,794",""
"Population estimates base, April 1, 2020, (V2024)","","30,196",""
"Population estimates base, April 1, 2020, (V2023)","","30,197",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.3%",""
"Population, Census, April 1, 2020","","30,193",""
"Population, Census, April 1, 2010","","31,883",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","23.4%",""
"Persons 65 years and over, percent","","17.7%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","96.3%",""
"Black alone, percent (a)","(a)","1.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","1.3%",""
"White alone, not Hispanic or Latino, percent","","95.2%",""
"Veterans, 2019-2023","","1,002",""
"Foreign-born persons, percent, 2019-2023","","0.7%",""
"Housing Units, July 1, 2023, (V2023)","","13,931",""
"Owner-occupied housing unit rate, 2019-2023","","65.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$109,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,088",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$363",""
"Median gross rent, 2019-2023","","$631",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","11,326",""
"Persons per household, 2019-2023","","2.59",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","92.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.3%",""
"Households with a computer, percent, 2019-2023","","88.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","75.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","13.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","19.3%",""
"Persons without health insurance, under age 65 years, percent","","7.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","40.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","38.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","49,021",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","141,645",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","26,754",""
"Total retail sales, 2022 ($1,000)","(c)","383,751",""
"Total retail sales per capita, 2022","(c)","$12,889",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.7",""
"Median households income (in 2023 dollars), 2019-2023","","$33,153",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$21,277",""
"Persons in poverty, percent","","35.0%",""
"Total employer establishments, 2022","","455",""
"Total employment, 2022","","7,013",""
"Total annual payroll, 2022 ($1,000)","","335,899",""
"Total employment, percent change, 2021-2022","","-9.9%",""
"Total nonemployer establishments, 2022","","2,138",""
"All employer firms, Reference year 2022","","354",""
"Men-owned employer firms, Reference year 2022","","139",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","248",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","252",""
"Population per square mile, 2020","","78.2",""
"Population per square mile, 2010","","82.5",""
"Land area in square miles, 2020","","386.31",""
"Land area in square miles, 2010","","386.30",""
"FIPS Code","","""21121""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
