"Fact","Fact Note","Lincoln County, Kentucky","Value Note for Lincoln County, Kentucky"
"Population estimates, July 1, 2024, (V2024)","","24,910",""
"Population estimates, July 1, 2023, (V2023)","","24,776",""
"Population estimates base, April 1, 2020, (V2024)","","24,274",""
"Population estimates base, April 1, 2020, (V2023)","","24,281",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.0%",""
"Population, Census, April 1, 2020","","24,275",""
"Population, Census, April 1, 2010","","24,742",""
"Persons under 5 years, percent","","6.6%",""
"Persons under 18 years, percent","","24.5%",""
"Persons 65 years and over, percent","","18.6%",""
"Female persons, percent","","50.9%",""
"White alone, percent","","95.3%",""
"Black alone, percent (a)","(a)","2.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","0.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","2.3%",""
"White alone, not Hispanic or Latino, percent","","93.4%",""
"Veterans, 2019-2023","","1,665",""
"Foreign-born persons, percent, 2019-2023","","1.3%",""
"Housing Units, July 1, 2023, (V2023)","","11,003",""
"Owner-occupied housing unit rate, 2019-2023","","77.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$139,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,078",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$357",""
"Median gross rent, 2019-2023","","$730",""
"Building Permits, 2023","","93",""
"Households, 2019-2023","","9,684",""
"Persons per household, 2019-2023","","2.50",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.5%",""
"Households with a computer, percent, 2019-2023","","89.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","83.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","15.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.7%",""
"Persons without health insurance, under age 65 years, percent","","7.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","53.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","47.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","16,490",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","60,656",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","3,965",""
"Total retail sales, 2022 ($1,000)","(c)","202,287",""
"Total retail sales per capita, 2022","(c)","$8,284",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","30.4",""
"Median households income (in 2023 dollars), 2019-2023","","$50,862",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$27,267",""
"Persons in poverty, percent","","19.1%",""
"Total employer establishments, 2022","","297",""
"Total employment, 2022","","2,803",""
"Total annual payroll, 2022 ($1,000)","","104,128",""
"Total employment, percent change, 2021-2022","","7.1%",""
"Total nonemployer establishments, 2022","","1,796",""
"All employer firms, Reference year 2022","","182",""
"Men-owned employer firms, Reference year 2022","","104",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","6",""
"Nonminority-owned employer firms, Reference year 2022","","147",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","148",""
"Population per square mile, 2020","","72.9",""
"Population per square mile, 2010","","74.1",""
"Land area in square miles, 2020","","332.84",""
"Land area in square miles, 2010","","334.10",""
"FIPS Code","","""21137""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
