"Fact","Fact Note","Metcalfe County, Kentucky","Value Note for Metcalfe County, Kentucky"
"Population estimates, July 1, 2024, (V2024)","","10,558",""
"Population estimates, July 1, 2023, (V2023)","","10,482",""
"Population estimates base, April 1, 2020, (V2024)","","10,286",""
"Population estimates base, April 1, 2020, (V2023)","","10,290",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.9%",""
"Population, Census, April 1, 2020","","10,286",""
"Population, Census, April 1, 2010","","10,099",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","23.3%",""
"Persons 65 years and over, percent","","20.2%",""
"Female persons, percent","","49.8%",""
"White alone, percent","","95.9%",""
"Black alone, percent (a)","(a)","1.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","2.6%",""
"White alone, not Hispanic or Latino, percent","","93.8%",""
"Veterans, 2019-2023","","491",""
"Foreign-born persons, percent, 2019-2023","","1.3%",""
"Housing Units, July 1, 2023, (V2023)","","4,746",""
"Owner-occupied housing unit rate, 2019-2023","","75.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$103,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$976",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$374",""
"Median gross rent, 2019-2023","","$549",""
"Building Permits, 2023","","NA",""
"Households, 2019-2023","","4,245",""
"Persons per household, 2019-2023","","2.42",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","82.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.0%",""
"Households with a computer, percent, 2019-2023","","89.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","82.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","13.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","16.3%",""
"Persons without health insurance, under age 65 years, percent","","6.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","54.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","48.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","4,659",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","12,910",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","7,352",""
"Total retail sales, 2022 ($1,000)","(c)","67,017",""
"Total retail sales per capita, 2022","(c)","$6,439",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.1",""
"Median households income (in 2023 dollars), 2019-2023","","$48,572",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$24,031",""
"Persons in poverty, percent","","24.2%",""
"Total employer establishments, 2022","","124",""
"Total employment, 2022","","1,334",""
"Total annual payroll, 2022 ($1,000)","","49,817",""
"Total employment, percent change, 2021-2022","","7.6%",""
"Total nonemployer establishments, 2022","","869",""
"All employer firms, Reference year 2022","","107",""
"Men-owned employer firms, Reference year 2022","","61",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","74",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","72",""
"Population per square mile, 2020","","35.5",""
"Population per square mile, 2010","","34.9",""
"Land area in square miles, 2020","","289.64",""
"Land area in square miles, 2010","","289.65",""
"FIPS Code","","""21169""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
