"Fact","Fact Note","Ohio County, Kentucky","Value Note for Ohio County, Kentucky"
"Population estimates, July 1, 2024, (V2024)","","23,933",""
"Population estimates, July 1, 2023, (V2023)","","23,626",""
"Population estimates base, April 1, 2020, (V2024)","","23,767",""
"Population estimates base, April 1, 2020, (V2023)","","23,771",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.6%",""
"Population, Census, April 1, 2020","","23,772",""
"Population, Census, April 1, 2010","","23,842",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","23.6%",""
"Persons 65 years and over, percent","","18.7%",""
"Female persons, percent","","49.9%",""
"White alone, percent","","96.4%",""
"Black alone, percent (a)","(a)","1.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.1%",""
"Hispanic or Latino, percent (b)","(b)","4.7%",""
"White alone, not Hispanic or Latino, percent","","92.7%",""
"Veterans, 2019-2023","","1,101",""
"Foreign-born persons, percent, 2019-2023","","2.8%",""
"Housing Units, July 1, 2023, (V2023)","","10,258",""
"Owner-occupied housing unit rate, 2019-2023","","78.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$113,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,094",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$379",""
"Median gross rent, 2019-2023","","$774",""
"Building Permits, 2023","","5",""
"Households, 2019-2023","","9,155",""
"Persons per household, 2019-2023","","2.56",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.9%",""
"Households with a computer, percent, 2019-2023","","89.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","81.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","83.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","14.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.4%",""
"Persons without health insurance, under age 65 years, percent","","7.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","54.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","49.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","23,271",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","111,700",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","58,352",""
"Total retail sales, 2022 ($1,000)","(c)","255,554",""
"Total retail sales per capita, 2022","(c)","$10,876",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","28.7",""
"Median households income (in 2023 dollars), 2019-2023","","$54,369",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$27,179",""
"Persons in poverty, percent","","16.0%",""
"Total employer establishments, 2022","","363",""
"Total employment, 2022","","6,875",""
"Total annual payroll, 2022 ($1,000)","","241,039",""
"Total employment, percent change, 2021-2022","","4.7%",""
"Total nonemployer establishments, 2022","","1,275",""
"All employer firms, Reference year 2022","","208",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","40",""
"Minority-owned employer firms, Reference year 2022","","4",""
"Nonminority-owned employer firms, Reference year 2022","","145",""
"Veteran-owned employer firms, Reference year 2022","","6",""
"Nonveteran-owned employer firms, Reference year 2022","","141",""
"Population per square mile, 2020","","40.5",""
"Population per square mile, 2010","","40.6",""
"Land area in square miles, 2020","","587.29",""
"Land area in square miles, 2010","","587.27",""
"FIPS Code","","""21183""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
