"Fact","Fact Note","Pulaski County, Kentucky","Value Note for Pulaski County, Kentucky"
"Population estimates, July 1, 2024, (V2024)","","66,842",""
"Population estimates, July 1, 2023, (V2023)","","66,191",""
"Population estimates base, April 1, 2020, (V2024)","","65,032",""
"Population estimates base, April 1, 2020, (V2023)","","65,039",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.8%",""
"Population, Census, April 1, 2020","","65,034",""
"Population, Census, April 1, 2010","","63,063",""
"Persons under 5 years, percent","","5.4%",""
"Persons under 18 years, percent","","21.7%",""
"Persons 65 years and over, percent","","20.3%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","95.8%",""
"Black alone, percent (a)","(a)","1.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","3.2%",""
"White alone, not Hispanic or Latino, percent","","93.0%",""
"Veterans, 2019-2023","","3,731",""
"Foreign-born persons, percent, 2019-2023","","1.9%",""
"Housing Units, July 1, 2023, (V2023)","","31,797",""
"Owner-occupied housing unit rate, 2019-2023","","71.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$156,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,209",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$372",""
"Median gross rent, 2019-2023","","$835",""
"Building Permits, 2023","","17",""
"Households, 2019-2023","","25,920",""
"Persons per household, 2019-2023","","2.49",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.0%",""
"Households with a computer, percent, 2019-2023","","90.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","17.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","15.8%",""
"Persons without health insurance, under age 65 years, percent","","7.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","53.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","49.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","153,537",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","727,990",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","55,657",""
"Total retail sales, 2022 ($1,000)","(c)","1,672,810",""
"Total retail sales per capita, 2022","(c)","$25,435",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.6",""
"Median households income (in 2023 dollars), 2019-2023","","$50,943",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$31,140",""
"Persons in poverty, percent","","17.0%",""
"Total employer establishments, 2022","","1,448",""
"Total employment, 2022","","21,312",""
"Total annual payroll, 2022 ($1,000)","","904,398",""
"Total employment, percent change, 2021-2022","","4.8%",""
"Total nonemployer establishments, 2022","","5,416",""
"All employer firms, Reference year 2022","","1,122",""
"Men-owned employer firms, Reference year 2022","","619",""
"Women-owned employer firms, Reference year 2022","","223",""
"Minority-owned employer firms, Reference year 2022","","115",""
"Nonminority-owned employer firms, Reference year 2022","","805",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","858",""
"Population per square mile, 2020","","98.8",""
"Population per square mile, 2010","","95.8",""
"Land area in square miles, 2020","","658.41",""
"Land area in square miles, 2010","","658.41",""
"FIPS Code","","""21199""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
