"Fact","Fact Note","Scott County, Kentucky","Value Note for Scott County, Kentucky"
"Population estimates, July 1, 2024, (V2024)","","61,700",""
"Population estimates, July 1, 2023, (V2023)","","60,168",""
"Population estimates base, April 1, 2020, (V2024)","","57,163",""
"Population estimates base, April 1, 2020, (V2023)","","57,160",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","7.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","5.3%",""
"Population, Census, April 1, 2020","","57,155",""
"Population, Census, April 1, 2010","","47,173",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","24.1%",""
"Persons 65 years and over, percent","","13.6%",""
"Female persons, percent","","50.6%",""
"White alone, percent","","89.6%",""
"Black alone, percent (a)","(a)","6.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","1.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.5%",""
"Hispanic or Latino, percent (b)","(b)","5.9%",""
"White alone, not Hispanic or Latino, percent","","84.5%",""
"Veterans, 2019-2023","","3,041",""
"Foreign-born persons, percent, 2019-2023","","2.8%",""
"Housing Units, July 1, 2023, (V2023)","","24,187",""
"Owner-occupied housing unit rate, 2019-2023","","72.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$264,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,561",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$485",""
"Median gross rent, 2019-2023","","$1,181",""
"Building Permits, 2023","","307",""
"Households, 2019-2023","","22,119",""
"Persons per household, 2019-2023","","2.58",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","83.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.9%",""
"Households with a computer, percent, 2019-2023","","96.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","33.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.3%",""
"Persons without health insurance, under age 65 years, percent","","4.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","67.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","62.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","169,342",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","259,484",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","135,223",""
"Total retail sales, 2022 ($1,000)","(c)","1,288,314",""
"Total retail sales per capita, 2022","(c)","$21,807",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.7",""
"Median households income (in 2023 dollars), 2019-2023","","$83,660",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$40,096",""
"Persons in poverty, percent","","10.0%",""
"Total employer establishments, 2022","","1,071",""
"Total employment, 2022","","25,155",""
"Total annual payroll, 2022 ($1,000)","","1,526,320",""
"Total employment, percent change, 2021-2022","","6.2%",""
"Total nonemployer establishments, 2022","","4,228",""
"All employer firms, Reference year 2022","","893",""
"Men-owned employer firms, Reference year 2022","","441",""
"Women-owned employer firms, Reference year 2022","","146",""
"Minority-owned employer firms, Reference year 2022","","131",""
"Nonminority-owned employer firms, Reference year 2022","","535",""
"Veteran-owned employer firms, Reference year 2022","","30",""
"Nonveteran-owned employer firms, Reference year 2022","","624",""
"Population per square mile, 2020","","202.8",""
"Population per square mile, 2010","","167.4",""
"Land area in square miles, 2020","","281.77",""
"Land area in square miles, 2010","","281.77",""
"FIPS Code","","""21209""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
