"Fact","Fact Note","Todd County, Kentucky","Value Note for Todd County, Kentucky"
"Population estimates, July 1, 2024, (V2024)","","12,757",""
"Population estimates, July 1, 2023, (V2023)","","12,494",""
"Population estimates base, April 1, 2020, (V2024)","","12,242",""
"Population estimates base, April 1, 2020, (V2023)","","12,248",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.0%",""
"Population, Census, April 1, 2020","","12,243",""
"Population, Census, April 1, 2010","","12,460",""
"Persons under 5 years, percent","","7.4%",""
"Persons under 18 years, percent","","26.9%",""
"Persons 65 years and over, percent","","16.9%",""
"Female persons, percent","","49.5%",""
"White alone, percent","","89.4%",""
"Black alone, percent (a)","(a)","7.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.2%",""
"Hispanic or Latino, percent (b)","(b)","5.6%",""
"White alone, not Hispanic or Latino, percent","","84.6%",""
"Veterans, 2019-2023","","632",""
"Foreign-born persons, percent, 2019-2023","","1.8%",""
"Housing Units, July 1, 2023, (V2023)","","5,241",""
"Owner-occupied housing unit rate, 2019-2023","","74.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$157,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,088",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$394",""
"Median gross rent, 2019-2023","","$841",""
"Building Permits, 2023","","37",""
"Households, 2019-2023","","4,434",""
"Persons per household, 2019-2023","","2.74",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","94.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","10.6%",""
"Households with a computer, percent, 2019-2023","","84.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","74.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","79.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","15.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.4%",""
"Persons without health insurance, under age 65 years, percent","","12.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","56.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","48.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","7,257",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","13,576",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","150,308",""
"Total retail sales per capita, 2022","(c)","$12,127",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.6",""
"Median households income (in 2023 dollars), 2019-2023","","$57,759",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,483",""
"Persons in poverty, percent","","16.3%",""
"Total employer establishments, 2022","","201",""
"Total employment, 2022","","1,735",""
"Total annual payroll, 2022 ($1,000)","","81,094",""
"Total employment, percent change, 2021-2022","","17.5%",""
"Total nonemployer establishments, 2022","","1,055",""
"All employer firms, Reference year 2022","","127",""
"Men-owned employer firms, Reference year 2022","","19",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","2",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","32.7",""
"Population per square mile, 2010","","33.3",""
"Land area in square miles, 2020","","374.50",""
"Land area in square miles, 2010","","374.50",""
"FIPS Code","","""21219""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
