"Fact","Fact Note","Bienville Parish, Louisiana","Value Note for Bienville Parish, Louisiana"
"Population estimates, July 1, 2024, (V2024)","","12,412",""
"Population estimates, July 1, 2023, (V2023)","","12,366",""
"Population estimates base, April 1, 2020, (V2024)","","12,987",""
"Population estimates base, April 1, 2020, (V2023)","","12,983",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-4.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-4.8%",""
"Population, Census, April 1, 2020","","12,981",""
"Population, Census, April 1, 2010","","14,353",""
"Persons under 5 years, percent","","6.3%",""
"Persons under 18 years, percent","","23.0%",""
"Persons 65 years and over, percent","","21.4%",""
"Female persons, percent","","51.2%",""
"White alone, percent","","56.1%",""
"Black alone, percent (a)","(a)","41.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent (b)","(b)","2.4%",""
"White alone, not Hispanic or Latino, percent","","54.4%",""
"Veterans, 2019-2023","","527",""
"Foreign-born persons, percent, 2019-2023","","0.8%",""
"Housing Units, July 1, 2023, (V2023)","","6,924",""
"Owner-occupied housing unit rate, 2019-2023","","70.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$93,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$991",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$293",""
"Median gross rent, 2019-2023","","$600",""
"Building Permits, 2023","","15",""
"Households, 2019-2023","","5,425",""
"Persons per household, 2019-2023","","2.30",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","93.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.4%",""
"Households with a computer, percent, 2019-2023","","85.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","64.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","13.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","14.5%",""
"Persons without health insurance, under age 65 years, percent","","7.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","45.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","38.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","47,373",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","87,705",""
"Total retail sales, 2022 ($1,000)","(c)","56,683",""
"Total retail sales per capita, 2022","(c)","$4,494",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.9",""
"Median households income (in 2023 dollars), 2019-2023","","$34,992",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$25,567",""
"Persons in poverty, percent","","25.3%",""
"Total employer establishments, 2022","","213",""
"Total employment, 2022","","2,971",""
"Total annual payroll, 2022 ($1,000)","","158,834",""
"Total employment, percent change, 2021-2022","","0.6%",""
"Total nonemployer establishments, 2022","","865",""
"All employer firms, Reference year 2022","","178",""
"Men-owned employer firms, Reference year 2022","","120",""
"Women-owned employer firms, Reference year 2022","","4",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","127",""
"Veteran-owned employer firms, Reference year 2022","","32",""
"Nonveteran-owned employer firms, Reference year 2022","","111",""
"Population per square mile, 2020","","16.0",""
"Population per square mile, 2010","","17.7",""
"Land area in square miles, 2020","","811.34",""
"Land area in square miles, 2010","","811.27",""
"FIPS Code","","""22013""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
