"Fact","Fact Note","East Baton Rouge Parish, Louisiana","Value Note for East Baton Rouge Parish, Louisiana"
"Population estimates, July 1, 2024, (V2024)","","453,022",""
"Population estimates, July 1, 2023, (V2023)","","448,467",""
"Population estimates base, April 1, 2020, (V2024)","","456,794",""
"Population estimates base, April 1, 2020, (V2023)","","456,783",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.8%",""
"Population, Census, April 1, 2020","","456,781",""
"Population, Census, April 1, 2010","","440,171",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","22.5%",""
"Persons 65 years and over, percent","","15.8%",""
"Female persons, percent","","52.3%",""
"White alone, percent","","47.6%",""
"Black alone, percent (a)","(a)","46.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","3.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","6.8%",""
"White alone, not Hispanic or Latino, percent","","42.2%",""
"Veterans, 2019-2023","","16,471",""
"Foreign-born persons, percent, 2019-2023","","6.7%",""
"Housing Units, July 1, 2023, (V2023)","","207,671",""
"Owner-occupied housing unit rate, 2019-2023","","59.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$241,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,655",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$501",""
"Median gross rent, 2019-2023","","$1,121",""
"Building Permits, 2023","","1,089",""
"Households, 2019-2023","","175,408",""
"Persons per household, 2019-2023","","2.50",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","83.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","9.1%",""
"Households with a computer, percent, 2019-2023","","94.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","38.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.8%",""
"Persons without health insurance, under age 65 years, percent","","7.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","1,770,696",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","6,191,876",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","1,566,954",""
"Total retail sales, 2022 ($1,000)","(c)","12,397,043",""
"Total retail sales per capita, 2022","(c)","$27,543",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.6",""
"Median households income (in 2023 dollars), 2019-2023","","$63,075",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,131",""
"Persons in poverty, percent","","20.0%",""
"Total employer establishments, 2022","","12,520",""
"Total employment, 2022","","236,005",""
"Total annual payroll, 2022 ($1,000)","","13,878,703",""
"Total employment, percent change, 2021-2022","","3.4%",""
"Total nonemployer establishments, 2022","","45,751",""
"All employer firms, Reference year 2022","","9,551",""
"Men-owned employer firms, Reference year 2022","","5,504",""
"Women-owned employer firms, Reference year 2022","","1,671",""
"Minority-owned employer firms, Reference year 2022","","1,518",""
"Nonminority-owned employer firms, Reference year 2022","","6,774",""
"Veteran-owned employer firms, Reference year 2022","","352",""
"Nonveteran-owned employer firms, Reference year 2022","","7,714",""
"Population per square mile, 2020","","1,002.8",""
"Population per square mile, 2010","","966.6",""
"Land area in square miles, 2020","","455.50",""
"Land area in square miles, 2010","","455.37",""
"FIPS Code","","""22033""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
