"Fact","Fact Note","Ouachita Parish, Louisiana","Value Note for Ouachita Parish, Louisiana"
"Population estimates, July 1, 2024, (V2024)","","157,874",""
"Population estimates, July 1, 2023, (V2023)","","157,568",""
"Population estimates base, April 1, 2020, (V2024)","","160,366",""
"Population estimates base, April 1, 2020, (V2023)","","160,370",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.7%",""
"Population, Census, April 1, 2020","","160,368",""
"Population, Census, April 1, 2010","","153,720",""
"Persons under 5 years, percent","","6.3%",""
"Persons under 18 years, percent","","24.5%",""
"Persons 65 years and over, percent","","16.3%",""
"Female persons, percent","","52.0%",""
"White alone, percent","","58.8%",""
"Black alone, percent (a)","(a)","38.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","1.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","3.7%",""
"White alone, not Hispanic or Latino, percent","","56.1%",""
"Veterans, 2019-2023","","7,382",""
"Foreign-born persons, percent, 2019-2023","","2.2%",""
"Housing Units, July 1, 2023, (V2023)","","71,696",""
"Owner-occupied housing unit rate, 2019-2023","","59.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$183,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,415",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$427",""
"Median gross rent, 2019-2023","","$923",""
"Building Permits, 2023","","402",""
"Households, 2019-2023","","60,804",""
"Persons per household, 2019-2023","","2.53",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.2%",""
"Households with a computer, percent, 2019-2023","","90.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","80.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","27.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.5%",""
"Persons without health insurance, under age 65 years, percent","","7.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","418,952",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,769,688",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","252,334",""
"Total retail sales, 2022 ($1,000)","(c)","3,134,681",""
"Total retail sales per capita, 2022","(c)","$19,877",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.3",""
"Median households income (in 2023 dollars), 2019-2023","","$51,241",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,656",""
"Persons in poverty, percent","","21.4%",""
"Total employer establishments, 2022","","4,175",""
"Total employment, 2022","","57,646",""
"Total annual payroll, 2022 ($1,000)","","2,570,678",""
"Total employment, percent change, 2021-2022","","-0.5%",""
"Total nonemployer establishments, 2022","","15,096",""
"All employer firms, Reference year 2022","","3,266",""
"Men-owned employer firms, Reference year 2022","","1,744",""
"Women-owned employer firms, Reference year 2022","","577",""
"Minority-owned employer firms, Reference year 2022","","401",""
"Nonminority-owned employer firms, Reference year 2022","","2,354",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","2,549",""
"Population per square mile, 2020","","262.7",""
"Population per square mile, 2010","","251.8",""
"Land area in square miles, 2020","","610.35",""
"Land area in square miles, 2010","","610.41",""
"FIPS Code","","""22073""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
