"Fact","Fact Note","St. Charles Parish, Louisiana","Value Note for St. Charles Parish, Louisiana"
"Population estimates, July 1, 2024, (V2024)","","50,400",""
"Population estimates, July 1, 2023, (V2023)","","50,620",""
"Population estimates base, April 1, 2020, (V2024)","","52,548",""
"Population estimates base, April 1, 2020, (V2023)","","52,548",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-4.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-3.7%",""
"Population, Census, April 1, 2020","","52,549",""
"Population, Census, April 1, 2010","","52,780",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","23.8%",""
"Persons 65 years and over, percent","","16.3%",""
"Female persons, percent","","50.6%",""
"White alone, percent","","70.7%",""
"Black alone, percent (a)","(a)","25.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","1.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.8%",""
"Hispanic or Latino, percent (b)","(b)","8.4%",""
"White alone, not Hispanic or Latino, percent","","63.7%",""
"Veterans, 2019-2023","","2,728",""
"Foreign-born persons, percent, 2019-2023","","4.2%",""
"Housing Units, July 1, 2023, (V2023)","","20,788",""
"Owner-occupied housing unit rate, 2019-2023","","82.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$256,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,784",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$511",""
"Median gross rent, 2019-2023","","$1,144",""
"Building Permits, 2023","","82",""
"Households, 2019-2023","","18,622",""
"Persons per household, 2019-2023","","2.76",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.8%",""
"Households with a computer, percent, 2019-2023","","95.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","92.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","27.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.1%",""
"Persons without health insurance, under age 65 years, percent","","5.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","61.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","69,982",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","250,617",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","727,398",""
"Total retail sales, 2022 ($1,000)","(c)","614,889",""
"Total retail sales per capita, 2022","(c)","$12,043",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.8",""
"Median households income (in 2023 dollars), 2019-2023","","$82,172",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$39,716",""
"Persons in poverty, percent","","12.9%",""
"Total employer establishments, 2022","","990",""
"Total employment, 2022","","20,454",""
"Total annual payroll, 2022 ($1,000)","","1,958,122",""
"Total employment, percent change, 2021-2022","","3.4%",""
"Total nonemployer establishments, 2022","","4,436",""
"All employer firms, Reference year 2022","","711",""
"Men-owned employer firms, Reference year 2022","","399",""
"Women-owned employer firms, Reference year 2022","","104",""
"Minority-owned employer firms, Reference year 2022","","66",""
"Nonminority-owned employer firms, Reference year 2022","","495",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","480",""
"Population per square mile, 2020","","189.2",""
"Population per square mile, 2010","","189.1",""
"Land area in square miles, 2020","","277.74",""
"Land area in square miles, 2010","","279.08",""
"FIPS Code","","""22089""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
