"Fact","Fact Note","Vernon Parish, Louisiana","Value Note for Vernon Parish, Louisiana"
"Population estimates, July 1, 2024, (V2024)","","45,819",""
"Population estimates, July 1, 2023, (V2023)","","46,250",""
"Population estimates base, April 1, 2020, (V2024)","","48,746",""
"Population estimates base, April 1, 2020, (V2023)","","48,745",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-6.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-5.1%",""
"Population, Census, April 1, 2020","","48,750",""
"Population, Census, April 1, 2010","","52,334",""
"Persons under 5 years, percent","","7.8%",""
"Persons under 18 years, percent","","25.4%",""
"Persons 65 years and over, percent","","14.4%",""
"Female persons, percent","","48.1%",""
"White alone, percent","","78.1%",""
"Black alone, percent (a)","(a)","13.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.7%",""
"Asian alone, percent (a)","(a)","1.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.4%",""
"Two or More Races, percent","","4.0%",""
"Hispanic or Latino, percent (b)","(b)","9.5%",""
"White alone, not Hispanic or Latino, percent","","70.5%",""
"Veterans, 2019-2023","","5,084",""
"Foreign-born persons, percent, 2019-2023","","3.4%",""
"Housing Units, July 1, 2023, (V2023)","","22,241",""
"Owner-occupied housing unit rate, 2019-2023","","55.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$143,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,328",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$329",""
"Median gross rent, 2019-2023","","$1,038",""
"Building Permits, 2023","","47",""
"Households, 2019-2023","","17,754",""
"Persons per household, 2019-2023","","2.60",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","83.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.8%",""
"Households with a computer, percent, 2019-2023","","93.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","87.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","19.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","16.8%",""
"Persons without health insurance, under age 65 years, percent","","7.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","45.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","46.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","77,914",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","304,595",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","26,620",""
"Total retail sales, 2022 ($1,000)","(c)","710,042",""
"Total retail sales per capita, 2022","(c)","$15,149",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.4",""
"Median households income (in 2023 dollars), 2019-2023","","$58,281",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,550",""
"Persons in poverty, percent","","16.7%",""
"Total employer establishments, 2022","","674",""
"Total employment, 2022","","7,514",""
"Total annual payroll, 2022 ($1,000)","","325,035",""
"Total employment, percent change, 2021-2022","","6.0%",""
"Total nonemployer establishments, 2022","","2,433",""
"All employer firms, Reference year 2022","","541",""
"Men-owned employer firms, Reference year 2022","","310",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","385",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","352",""
"Population per square mile, 2020","","36.7",""
"Population per square mile, 2010","","39.4",""
"Land area in square miles, 2020","","1,326.72",""
"Land area in square miles, 2010","","1,327.91",""
"FIPS Code","","""22115""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
