"Fact","Fact Note","West Baton Rouge Parish, Louisiana","Value Note for West Baton Rouge Parish, Louisiana"
"Population estimates, July 1, 2024, (V2024)","","28,425",""
"Population estimates, July 1, 2023, (V2023)","","28,266",""
"Population estimates base, April 1, 2020, (V2024)","","27,201",""
"Population estimates base, April 1, 2020, (V2023)","","27,202",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.9%",""
"Population, Census, April 1, 2020","","27,199",""
"Population, Census, April 1, 2010","","23,788",""
"Persons under 5 years, percent","","6.2%",""
"Persons under 18 years, percent","","24.4%",""
"Persons 65 years and over, percent","","15.3%",""
"Female persons, percent","","51.1%",""
"White alone, percent","","55.8%",""
"Black alone, percent (a)","(a)","41.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","4.4%",""
"White alone, not Hispanic or Latino, percent","","52.3%",""
"Veterans, 2019-2023","","929",""
"Foreign-born persons, percent, 2019-2023","","1.9%",""
"Housing Units, July 1, 2023, (V2023)","","12,344",""
"Owner-occupied housing unit rate, 2019-2023","","75.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$225,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,445",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$423",""
"Median gross rent, 2019-2023","","$1,021",""
"Building Permits, 2023","","139",""
"Households, 2019-2023","","10,400",""
"Persons per household, 2019-2023","","2.58",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","92.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.7%",""
"Households with a computer, percent, 2019-2023","","95.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","91.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","23.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.6%",""
"Persons without health insurance, under age 65 years, percent","","5.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","63.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","77,167",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","69,889",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","343,593",""
"Total retail sales, 2022 ($1,000)","(c)","500,710",""
"Total retail sales per capita, 2022","(c)","$17,861",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.2",""
"Median households income (in 2023 dollars), 2019-2023","","$87,320",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,107",""
"Persons in poverty, percent","","13.6%",""
"Total employer establishments, 2022","","585",""
"Total employment, 2022","","10,819",""
"Total annual payroll, 2022 ($1,000)","","579,027",""
"Total employment, percent change, 2021-2022","","-0.8%",""
"Total nonemployer establishments, 2022","","2,467",""
"All employer firms, Reference year 2022","","422",""
"Men-owned employer firms, Reference year 2022","","185",""
"Women-owned employer firms, Reference year 2022","","104",""
"Minority-owned employer firms, Reference year 2022","","58",""
"Nonminority-owned employer firms, Reference year 2022","","271",""
"Veteran-owned employer firms, Reference year 2022","","8",""
"Nonveteran-owned employer firms, Reference year 2022","","315",""
"Population per square mile, 2020","","141.4",""
"Population per square mile, 2010","","123.6",""
"Land area in square miles, 2020","","192.35",""
"Land area in square miles, 2010","","192.39",""
"FIPS Code","","""22121""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
