"Fact","Fact Note","Allegany County, Maryland","Value Note for Allegany County, Maryland"
"Population estimates, July 1, 2024, (V2024)","","67,097",""
"Population estimates, July 1, 2023, (V2023)","","67,273",""
"Population estimates base, April 1, 2020, (V2024)","","68,106",""
"Population estimates base, April 1, 2020, (V2023)","","68,108",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.2%",""
"Population, Census, April 1, 2020","","68,106",""
"Population, Census, April 1, 2010","","75,087",""
"Persons under 5 years, percent","","4.6%",""
"Persons under 18 years, percent","","17.9%",""
"Persons 65 years and over, percent","","21.4%",""
"Female persons, percent","","47.6%",""
"White alone, percent","","88.0%",""
"Black alone, percent (a)","(a)","7.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","1.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.6%",""
"Hispanic or Latino, percent (b)","(b)","2.1%",""
"White alone, not Hispanic or Latino, percent","","86.3%",""
"Veterans, 2019-2023","","4,574",""
"Foreign-born persons, percent, 2019-2023","","2.1%",""
"Housing Units, July 1, 2023, (V2023)","","32,647",""
"Owner-occupied housing unit rate, 2019-2023","","70.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$149,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,186",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$471",""
"Median gross rent, 2019-2023","","$786",""
"Building Permits, 2023","","19",""
"Households, 2019-2023","","27,436",""
"Persons per household, 2019-2023","","2.22",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.5%",""
"Households with a computer, percent, 2019-2023","","90.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","21.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","15.8%",""
"Persons without health insurance, under age 65 years, percent","","6.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","48.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","47.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","771,211",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","145,290",""
"Total retail sales, 2022 ($1,000)","(c)","1,457,273",""
"Total retail sales per capita, 2022","(c)","$21,664",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.1",""
"Median households income (in 2023 dollars), 2019-2023","","$57,393",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,046",""
"Persons in poverty, percent","","18.8%",""
"Total employer establishments, 2022","","1,468",""
"Total employment, 2022","","21,634",""
"Total annual payroll, 2022 ($1,000)","","913,973",""
"Total employment, percent change, 2021-2022","","3.5%",""
"Total nonemployer establishments, 2022","","3,533",""
"All employer firms, Reference year 2022","","1,208",""
"Men-owned employer firms, Reference year 2022","","608",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","932",""
"Veteran-owned employer firms, Reference year 2022","","11",""
"Nonveteran-owned employer firms, Reference year 2022","","998",""
"Population per square mile, 2020","","161.3",""
"Population per square mile, 2010","","177.0",""
"Land area in square miles, 2020","","422.20",""
"Land area in square miles, 2010","","424.16",""
"FIPS Code","","""24001""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
