"Fact","Fact Note","Calvert County, Maryland","Value Note for Calvert County, Maryland"
"Population estimates, July 1, 2024, (V2024)","","94,913",""
"Population estimates, July 1, 2023, (V2023)","","94,728",""
"Population estimates base, April 1, 2020, (V2024)","","92,786",""
"Population estimates base, April 1, 2020, (V2023)","","92,789",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.1%",""
"Population, Census, April 1, 2020","","92,783",""
"Population, Census, April 1, 2010","","88,737",""
"Persons under 5 years, percent","","5.4%",""
"Persons under 18 years, percent","","23.0%",""
"Persons 65 years and over, percent","","16.9%",""
"Female persons, percent","","50.3%",""
"White alone, percent","","78.9%",""
"Black alone, percent (a)","(a)","14.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","2.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","3.8%",""
"Hispanic or Latino, percent (b)","(b)","5.5%",""
"White alone, not Hispanic or Latino, percent","","74.6%",""
"Veterans, 2019-2023","","7,746",""
"Foreign-born persons, percent, 2019-2023","","3.7%",""
"Housing Units, July 1, 2023, (V2023)","","36,309",""
"Owner-occupied housing unit rate, 2019-2023","","87.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$440,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,359",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$718",""
"Median gross rent, 2019-2023","","$1,701",""
"Building Permits, 2023","","95",""
"Households, 2019-2023","","33,485",""
"Persons per household, 2019-2023","","2.78",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.0%",""
"Households with a computer, percent, 2019-2023","","95.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","92.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","35.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","6.5%",""
"Persons without health insurance, under age 65 years, percent","","4.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","65.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","60.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","224,822",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","528,585",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","40,701",""
"Total retail sales, 2022 ($1,000)","(c)","1,147,859",""
"Total retail sales per capita, 2022","(c)","$12,139",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","40.7",""
"Median households income (in 2023 dollars), 2019-2023","","$132,059",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$56,411",""
"Persons in poverty, percent","","4.9%",""
"Total employer establishments, 2022","","1,733",""
"Total employment, 2022","","18,683",""
"Total annual payroll, 2022 ($1,000)","","978,835",""
"Total employment, percent change, 2021-2022","","3.0%",""
"Total nonemployer establishments, 2022","","7,525",""
"All employer firms, Reference year 2022","","1,423",""
"Men-owned employer firms, Reference year 2022","","849",""
"Women-owned employer firms, Reference year 2022","","334",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","1,077",""
"Veteran-owned employer firms, Reference year 2022","","96",""
"Nonveteran-owned employer firms, Reference year 2022","","1,180",""
"Population per square mile, 2020","","435.2",""
"Population per square mile, 2010","","416.3",""
"Land area in square miles, 2020","","213.19",""
"Land area in square miles, 2010","","213.15",""
"FIPS Code","","""24009""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
