"Fact","Fact Note","Charles County, Maryland","Value Note for Charles County, Maryland"
"Population estimates, July 1, 2024, (V2024)","","174,478",""
"Population estimates, July 1, 2023, (V2023)","","171,973",""
"Population estimates base, April 1, 2020, (V2024)","","166,598",""
"Population estimates base, April 1, 2020, (V2023)","","166,621",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.2%",""
"Population, Census, April 1, 2020","","166,617",""
"Population, Census, April 1, 2010","","146,551",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","23.7%",""
"Persons 65 years and over, percent","","14.2%",""
"Female persons, percent","","51.9%",""
"White alone, percent","","37.2%",""
"Black alone, percent (a)","(a)","54.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","3.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","4.1%",""
"Hispanic or Latino, percent (b)","(b)","8.2%",""
"White alone, not Hispanic or Latino, percent","","31.5%",""
"Veterans, 2019-2023","","16,664",""
"Foreign-born persons, percent, 2019-2023","","8.4%",""
"Housing Units, July 1, 2023, (V2023)","","64,650",""
"Owner-occupied housing unit rate, 2019-2023","","81.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$402,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,430",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$739",""
"Median gross rent, 2019-2023","","$1,897",""
"Building Permits, 2023","","1,123",""
"Households, 2019-2023","","60,199",""
"Persons per household, 2019-2023","","2.78",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","10.4%",""
"Households with a computer, percent, 2019-2023","","96.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","92.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","31.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.8%",""
"Persons without health insurance, under age 65 years, percent","","4.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","68.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","65.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","451,254",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","770,321",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","168,206",""
"Total retail sales, 2022 ($1,000)","(c)","2,842,911",""
"Total retail sales per capita, 2022","(c)","$16,712",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","43.1",""
"Median households income (in 2023 dollars), 2019-2023","","$120,592",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$50,540",""
"Persons in poverty, percent","","7.8%",""
"Total employer establishments, 2022","","2,756",""
"Total employment, 2022","","33,622",""
"Total annual payroll, 2022 ($1,000)","","1,519,599",""
"Total employment, percent change, 2021-2022","","3.9%",""
"Total nonemployer establishments, 2022","","15,411",""
"All employer firms, Reference year 2022","","2,348",""
"Men-owned employer firms, Reference year 2022","","1,291",""
"Women-owned employer firms, Reference year 2022","","531",""
"Minority-owned employer firms, Reference year 2022","","697",""
"Nonminority-owned employer firms, Reference year 2022","","1,315",""
"Veteran-owned employer firms, Reference year 2022","","232",""
"Nonveteran-owned employer firms, Reference year 2022","","1,753",""
"Population per square mile, 2020","","363.9",""
"Population per square mile, 2010","","320.2",""
"Land area in square miles, 2020","","457.82",""
"Land area in square miles, 2010","","457.75",""
"FIPS Code","","""24017""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
