"Fact","Fact Note","Dorchester County, Maryland","Value Note for Dorchester County, Maryland"
"Population estimates, July 1, 2024, (V2024)","","33,138",""
"Population estimates, July 1, 2023, (V2023)","","32,879",""
"Population estimates base, April 1, 2020, (V2024)","","32,523",""
"Population estimates base, April 1, 2020, (V2023)","","32,529",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.1%",""
"Population, Census, April 1, 2020","","32,531",""
"Population, Census, April 1, 2010","","32,618",""
"Persons under 5 years, percent","","5.4%",""
"Persons under 18 years, percent","","20.6%",""
"Persons 65 years and over, percent","","23.6%",""
"Female persons, percent","","52.8%",""
"White alone, percent","","65.9%",""
"Black alone, percent (a)","(a)","29.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","1.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.8%",""
"Hispanic or Latino, percent (b)","(b)","6.4%",""
"White alone, not Hispanic or Latino, percent","","61.3%",""
"Veterans, 2019-2023","","2,020",""
"Foreign-born persons, percent, 2019-2023","","4.0%",""
"Housing Units, July 1, 2023, (V2023)","","16,466",""
"Owner-occupied housing unit rate, 2019-2023","","66.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$252,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,677",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$614",""
"Median gross rent, 2019-2023","","$959",""
"Building Permits, 2023","","69",""
"Households, 2019-2023","","13,324",""
"Persons per household, 2019-2023","","2.41",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","92.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.6%",""
"Households with a computer, percent, 2019-2023","","92.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","85.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","18.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.6%",""
"Persons without health insurance, under age 65 years, percent","","7.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","58.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","54.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","216,639",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","63,873",""
"Total retail sales, 2022 ($1,000)","(c)","484,351",""
"Total retail sales per capita, 2022","(c)","$14,865",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.9",""
"Median households income (in 2023 dollars), 2019-2023","","$60,495",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$34,780",""
"Persons in poverty, percent","","15.7%",""
"Total employer establishments, 2022","","666",""
"Total employment, 2022","","9,256",""
"Total annual payroll, 2022 ($1,000)","","454,678",""
"Total employment, percent change, 2021-2022","","-2.1%",""
"Total nonemployer establishments, 2022","","2,925",""
"All employer firms, Reference year 2022","","648",""
"Men-owned employer firms, Reference year 2022","","348",""
"Women-owned employer firms, Reference year 2022","","101",""
"Minority-owned employer firms, Reference year 2022","","55",""
"Nonminority-owned employer firms, Reference year 2022","","483",""
"Veteran-owned employer firms, Reference year 2022","","23",""
"Nonveteran-owned employer firms, Reference year 2022","","515",""
"Population per square mile, 2020","","60.2",""
"Population per square mile, 2010","","60.3",""
"Land area in square miles, 2020","","540.77",""
"Land area in square miles, 2010","","540.77",""
"FIPS Code","","""24019""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
