"Fact","Fact Note","Talbot County, Maryland","Value Note for Talbot County, Maryland"
"Population estimates, July 1, 2024, (V2024)","","38,244",""
"Population estimates, July 1, 2023, (V2023)","","37,823",""
"Population estimates base, April 1, 2020, (V2024)","","37,522",""
"Population estimates base, April 1, 2020, (V2023)","","37,523",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.8%",""
"Population, Census, April 1, 2020","","37,526",""
"Population, Census, April 1, 2010","","37,782",""
"Persons under 5 years, percent","","4.6%",""
"Persons under 18 years, percent","","18.3%",""
"Persons 65 years and over, percent","","30.5%",""
"Female persons, percent","","52.2%",""
"White alone, percent","","82.1%",""
"Black alone, percent (a)","(a)","12.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","1.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","2.3%",""
"Hispanic or Latino, percent (b)","(b)","9.6%",""
"White alone, not Hispanic or Latino, percent","","74.5%",""
"Veterans, 2019-2023","","2,765",""
"Foreign-born persons, percent, 2019-2023","","8.5%",""
"Housing Units, July 1, 2023, (V2023)","","19,861",""
"Owner-occupied housing unit rate, 2019-2023","","72.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$398,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,112",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$696",""
"Median gross rent, 2019-2023","","$1,248",""
"Building Permits, 2023","","149",""
"Households, 2019-2023","","16,211",""
"Persons per household, 2019-2023","","2.30",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","9.9%",""
"Households with a computer, percent, 2019-2023","","93.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","41.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.0%",""
"Persons without health insurance, under age 65 years, percent","","7.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","55.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","49.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","203,744",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","661,977",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","65,332",""
"Total retail sales, 2022 ($1,000)","(c)","955,873",""
"Total retail sales per capita, 2022","(c)","$25,278",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.8",""
"Median households income (in 2023 dollars), 2019-2023","","$84,378",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$53,527",""
"Persons in poverty, percent","","10.1%",""
"Total employer establishments, 2022","","1,478",""
"Total employment, 2022","","17,036",""
"Total annual payroll, 2022 ($1,000)","","876,020",""
"Total employment, percent change, 2021-2022","","2.3%",""
"Total nonemployer establishments, 2022","","4,537",""
"All employer firms, Reference year 2022","","1,403",""
"Men-owned employer firms, Reference year 2022","","791",""
"Women-owned employer firms, Reference year 2022","","257",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","1,074",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","1,069",""
"Population per square mile, 2020","","139.7",""
"Population per square mile, 2010","","140.7",""
"Land area in square miles, 2020","","268.56",""
"Land area in square miles, 2010","","268.54",""
"FIPS Code","","""24041""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
