"Fact","Fact Note","Branch County, Michigan","Value Note for Branch County, Michigan"
"Population estimates, July 1, 2024, (V2024)","","46,187",""
"Population estimates, July 1, 2023, (V2023)","","45,215",""
"Population estimates base, April 1, 2020, (V2024)","","44,864",""
"Population estimates base, April 1, 2020, (V2023)","","44,873",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.8%",""
"Population, Census, April 1, 2020","","44,862",""
"Population, Census, April 1, 2010","","45,248",""
"Persons under 5 years, percent","","6.3%",""
"Persons under 18 years, percent","","23.3%",""
"Persons 65 years and over, percent","","19.9%",""
"Female persons, percent","","47.8%",""
"White alone, percent","","94.0%",""
"Black alone, percent (a)","(a)","2.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent (b)","(b)","7.0%",""
"White alone, not Hispanic or Latino, percent","","87.8%",""
"Veterans, 2019-2023","","2,300",""
"Foreign-born persons, percent, 2019-2023","","5.0%",""
"Housing Units, July 1, 2023, (V2023)","","21,214",""
"Owner-occupied housing unit rate, 2019-2023","","77.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$147,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,199",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$490",""
"Median gross rent, 2019-2023","","$900",""
"Building Permits, 2023","","41",""
"Households, 2019-2023","","16,922",""
"Persons per household, 2019-2023","","2.54",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","12.6%",""
"Households with a computer, percent, 2019-2023","","90.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","16.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.9%",""
"Persons without health insurance, under age 65 years, percent","","8.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","57.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","97,527",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","155,182",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","44,344",""
"Total retail sales, 2022 ($1,000)","(c)","756,795",""
"Total retail sales per capita, 2022","(c)","$17,006",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.7",""
"Median households income (in 2023 dollars), 2019-2023","","$61,958",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,685",""
"Persons in poverty, percent","","14.9%",""
"Total employer establishments, 2022","","825",""
"Total employment, 2022","","13,092",""
"Total annual payroll, 2022 ($1,000)","","645,449",""
"Total employment, percent change, 2021-2022","","15.2%",""
"Total nonemployer establishments, 2022","","2,717",""
"All employer firms, Reference year 2022","","882",""
"Men-owned employer firms, Reference year 2022","","451",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","740",""
"Veteran-owned employer firms, Reference year 2022","","67",""
"Nonveteran-owned employer firms, Reference year 2022","","646",""
"Population per square mile, 2020","","88.6",""
"Population per square mile, 2010","","89.4",""
"Land area in square miles, 2020","","506.41",""
"Land area in square miles, 2010","","506.37",""
"FIPS Code","","""26023""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
