"Fact","Fact Note","Eaton County, Michigan","Value Note for Eaton County, Michigan"
"Population estimates, July 1, 2024, (V2024)","","109,494",""
"Population estimates, July 1, 2023, (V2023)","","108,820",""
"Population estimates base, April 1, 2020, (V2024)","","109,185",""
"Population estimates base, April 1, 2020, (V2023)","","109,165",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.3%",""
"Population, Census, April 1, 2020","","109,175",""
"Population, Census, April 1, 2010","","107,759",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","20.4%",""
"Persons 65 years and over, percent","","20.6%",""
"Female persons, percent","","50.6%",""
"White alone, percent","","86.5%",""
"Black alone, percent (a)","(a)","7.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","2.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","3.0%",""
"Hispanic or Latino, percent (b)","(b)","6.5%",""
"White alone, not Hispanic or Latino, percent","","81.1%",""
"Veterans, 2019-2023","","6,272",""
"Foreign-born persons, percent, 2019-2023","","4.4%",""
"Housing Units, July 1, 2023, (V2023)","","47,888",""
"Owner-occupied housing unit rate, 2019-2023","","74.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$206,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,493",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$620",""
"Median gross rent, 2019-2023","","$1,042",""
"Building Permits, 2023","","107",""
"Households, 2019-2023","","45,115",""
"Persons per household, 2019-2023","","2.38",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.8%",""
"Households with a computer, percent, 2019-2023","","94.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","30.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.6%",""
"Persons without health insurance, under age 65 years, percent","","4.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","252,239",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","416,231",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","349,122",""
"Total retail sales, 2022 ($1,000)","(c)","2,151,871",""
"Total retail sales per capita, 2022","(c)","$19,768",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.5",""
"Median households income (in 2023 dollars), 2019-2023","","$78,025",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$40,259",""
"Persons in poverty, percent","","10.1%",""
"Total employer establishments, 2022","","2,169",""
"Total employment, 2022","","43,695",""
"Total annual payroll, 2022 ($1,000)","","2,243,551",""
"Total employment, percent change, 2021-2022","","9.1%",""
"Total nonemployer establishments, 2022","","7,662",""
"All employer firms, Reference year 2022","","1,557",""
"Men-owned employer firms, Reference year 2022","","862",""
"Women-owned employer firms, Reference year 2022","","255",""
"Minority-owned employer firms, Reference year 2022","","151",""
"Nonminority-owned employer firms, Reference year 2022","","1,098",""
"Veteran-owned employer firms, Reference year 2022","","79",""
"Nonveteran-owned employer firms, Reference year 2022","","1,174",""
"Population per square mile, 2020","","189.8",""
"Population per square mile, 2010","","187.3",""
"Land area in square miles, 2020","","575.21",""
"Land area in square miles, 2010","","575.18",""
"FIPS Code","","""26045""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
