"Fact","Fact Note","Lenawee County, Michigan","Value Note for Lenawee County, Michigan"
"Population estimates, July 1, 2024, (V2024)","","97,746",""
"Population estimates, July 1, 2023, (V2023)","","97,520",""
"Population estimates base, April 1, 2020, (V2024)","","99,413",""
"Population estimates base, April 1, 2020, (V2023)","","99,422",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.9%",""
"Population, Census, April 1, 2020","","99,423",""
"Population, Census, April 1, 2010","","99,892",""
"Persons under 5 years, percent","","4.7%",""
"Persons under 18 years, percent","","20.3%",""
"Persons 65 years and over, percent","","21.0%",""
"Female persons, percent","","49.6%",""
"White alone, percent","","93.8%",""
"Black alone, percent (a)","(a)","2.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","2.4%",""
"Hispanic or Latino, percent (b)","(b)","9.1%",""
"White alone, not Hispanic or Latino, percent","","85.7%",""
"Veterans, 2019-2023","","5,349",""
"Foreign-born persons, percent, 2019-2023","","2.2%",""
"Housing Units, July 1, 2023, (V2023)","","43,929",""
"Owner-occupied housing unit rate, 2019-2023","","78.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$181,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,360",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$551",""
"Median gross rent, 2019-2023","","$965",""
"Building Permits, 2023","","128",""
"Households, 2019-2023","","38,807",""
"Persons per household, 2019-2023","","2.42",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.6%",""
"Households with a computer, percent, 2019-2023","","94.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","22.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.5%",""
"Persons without health insurance, under age 65 years, percent","","5.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","57.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","54.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","171,080",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","376,666",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","92,774",""
"Total retail sales, 2022 ($1,000)","(c)","1,523,522",""
"Total retail sales per capita, 2022","(c)","$15,502",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.2",""
"Median households income (in 2023 dollars), 2019-2023","","$67,013",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$33,914",""
"Persons in poverty, percent","","10.6%",""
"Total employer establishments, 2022","","1,799",""
"Total employment, 2022","","22,834",""
"Total annual payroll, 2022 ($1,000)","","972,367",""
"Total employment, percent change, 2021-2022","","2.2%",""
"Total nonemployer establishments, 2022","","6,249",""
"All employer firms, Reference year 2022","","1,684",""
"Men-owned employer firms, Reference year 2022","","926",""
"Women-owned employer firms, Reference year 2022","","361",""
"Minority-owned employer firms, Reference year 2022","","51",""
"Nonminority-owned employer firms, Reference year 2022","","1,455",""
"Veteran-owned employer firms, Reference year 2022","","47",""
"Nonveteran-owned employer firms, Reference year 2022","","1,425",""
"Population per square mile, 2020","","132.6",""
"Population per square mile, 2010","","133.3",""
"Land area in square miles, 2020","","749.63",""
"Land area in square miles, 2010","","749.56",""
"FIPS Code","","""26091""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
