"Fact","Fact Note","Mackinac County, Michigan","Value Note for Mackinac County, Michigan"
"Population estimates, July 1, 2024, (V2024)","","11,144",""
"Population estimates, July 1, 2023, (V2023)","","10,851",""
"Population estimates base, April 1, 2020, (V2024)","","10,824",""
"Population estimates base, April 1, 2020, (V2023)","","10,830",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.2%",""
"Population, Census, April 1, 2020","","10,834",""
"Population, Census, April 1, 2010","","11,113",""
"Persons under 5 years, percent","","3.9%",""
"Persons under 18 years, percent","","14.9%",""
"Persons 65 years and over, percent","","30.6%",""
"Female persons, percent","","49.6%",""
"White alone, percent","","73.9%",""
"Black alone, percent (a)","(a)","4.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","15.9%",""
"Asian alone, percent (a)","(a)","1.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","5.0%",""
"Hispanic or Latino, percent (b)","(b)","2.6%",""
"White alone, not Hispanic or Latino, percent","","71.9%",""
"Veterans, 2019-2023","","889",""
"Foreign-born persons, percent, 2019-2023","","5.4%",""
"Housing Units, July 1, 2023, (V2023)","","10,649",""
"Owner-occupied housing unit rate, 2019-2023","","77.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$165,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,281",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$464",""
"Median gross rent, 2019-2023","","$761",""
"Building Permits, 2023","","41",""
"Households, 2019-2023","","5,128",""
"Persons per household, 2019-2023","","2.05",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.9%",""
"Households with a computer, percent, 2019-2023","","92.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","23.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","14.5%",""
"Persons without health insurance, under age 65 years, percent","","10.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","50.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","195,750",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","79,234",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","31,867",""
"Total retail sales, 2022 ($1,000)","(c)","166,002",""
"Total retail sales per capita, 2022","(c)","$15,143",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.6",""
"Median households income (in 2023 dollars), 2019-2023","","$58,598",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$34,862",""
"Persons in poverty, percent","","13.6%",""
"Total employer establishments, 2022","","452",""
"Total employment, 2022","","2,301",""
"Total annual payroll, 2022 ($1,000)","","159,308",""
"Total employment, percent change, 2021-2022","","8.4%",""
"Total nonemployer establishments, 2022","","931",""
"All employer firms, Reference year 2022","","444",""
"Men-owned employer firms, Reference year 2022","","245",""
"Women-owned employer firms, Reference year 2022","","91",""
"Minority-owned employer firms, Reference year 2022","","46",""
"Nonminority-owned employer firms, Reference year 2022","","332",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","335",""
"Population per square mile, 2020","","10.6",""
"Population per square mile, 2010","","10.9",""
"Land area in square miles, 2020","","1,021.88",""
"Land area in square miles, 2010","","1,021.57",""
"FIPS Code","","""26097""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
