"Fact","Fact Note","Dodge County, Minnesota","Value Note for Dodge County, Minnesota"
"Population estimates, July 1, 2024, (V2024)","","21,242",""
"Population estimates, July 1, 2023, (V2023)","","21,088",""
"Population estimates base, April 1, 2020, (V2024)","","20,864",""
"Population estimates base, April 1, 2020, (V2023)","","20,866",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.1%",""
"Population, Census, April 1, 2020","","20,867",""
"Population, Census, April 1, 2010","","20,087",""
"Persons under 5 years, percent","","6.3%",""
"Persons under 18 years, percent","","25.0%",""
"Persons 65 years and over, percent","","16.4%",""
"Female persons, percent","","49.1%",""
"White alone, percent","","95.5%",""
"Black alone, percent (a)","(a)","1.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent (b)","(b)","5.4%",""
"White alone, not Hispanic or Latino, percent","","90.7%",""
"Veterans, 2019-2023","","910",""
"Foreign-born persons, percent, 2019-2023","","3.7%",""
"Housing Units, July 1, 2023, (V2023)","","8,630",""
"Owner-occupied housing unit rate, 2019-2023","","87.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$267,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,782",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$688",""
"Median gross rent, 2019-2023","","$1,007",""
"Building Permits, 2023","","44",""
"Households, 2019-2023","","8,018",""
"Persons per household, 2019-2023","","2.59",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.0%",""
"Households with a computer, percent, 2019-2023","","94.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","95.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","29.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.8%",""
"Persons without health insurance, under age 65 years, percent","","4.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","71.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","71.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","13,807",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","18,217",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","185,707",""
"Total retail sales per capita, 2022","(c)","$8,847",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.8",""
"Median households income (in 2023 dollars), 2019-2023","","$92,943",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$43,903",""
"Persons in poverty, percent","","7.4%",""
"Total employer establishments, 2022","","408",""
"Total employment, 2022","","4,762",""
"Total annual payroll, 2022 ($1,000)","","277,149",""
"Total employment, percent change, 2021-2022","","9.5%",""
"Total nonemployer establishments, 2022","","1,449",""
"All employer firms, Reference year 2022","","408",""
"Men-owned employer firms, Reference year 2022","","323",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","361",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","356",""
"Population per square mile, 2020","","47.5",""
"Population per square mile, 2010","","45.7",""
"Land area in square miles, 2020","","439.28",""
"Land area in square miles, 2010","","439.28",""
"FIPS Code","","""27039""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
