"Fact","Fact Note","Hubbard County, Minnesota","Value Note for Hubbard County, Minnesota"
"Population estimates, July 1, 2024, (V2024)","","22,050",""
"Population estimates, July 1, 2023, (V2023)","","22,132",""
"Population estimates base, April 1, 2020, (V2024)","","21,343",""
"Population estimates base, April 1, 2020, (V2023)","","21,350",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.7%",""
"Population, Census, April 1, 2020","","21,344",""
"Population, Census, April 1, 2010","","20,428",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","20.6%",""
"Persons 65 years and over, percent","","27.2%",""
"Female persons, percent","","49.0%",""
"White alone, percent","","93.5%",""
"Black alone, percent (a)","(a)","0.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.9%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.4%",""
"Hispanic or Latino, percent (b)","(b)","2.8%",""
"White alone, not Hispanic or Latino, percent","","91.6%",""
"Veterans, 2019-2023","","1,753",""
"Foreign-born persons, percent, 2019-2023","","1.5%",""
"Housing Units, July 1, 2023, (V2023)","","14,792",""
"Owner-occupied housing unit rate, 2019-2023","","82.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$255,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,583",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$570",""
"Median gross rent, 2019-2023","","$923",""
"Building Permits, 2023","","90",""
"Households, 2019-2023","","8,885",""
"Persons per household, 2019-2023","","2.41",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.0%",""
"Households with a computer, percent, 2019-2023","","93.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","30.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.2%",""
"Persons without health insurance, under age 65 years, percent","","7.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","57.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","47,944",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","135,022",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","32,249",""
"Total retail sales, 2022 ($1,000)","(c)","336,154",""
"Total retail sales per capita, 2022","(c)","$15,305",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.0",""
"Median households income (in 2023 dollars), 2019-2023","","$70,622",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,262",""
"Persons in poverty, percent","","10.7%",""
"Total employer establishments, 2022","","622",""
"Total employment, 2022","","4,648",""
"Total annual payroll, 2022 ($1,000)","","210,789",""
"Total employment, percent change, 2021-2022","","1.9%",""
"Total nonemployer establishments, 2022","","1,755",""
"All employer firms, Reference year 2022","","510",""
"Men-owned employer firms, Reference year 2022","","300",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","448",""
"Veteran-owned employer firms, Reference year 2022","","8",""
"Nonveteran-owned employer firms, Reference year 2022","","445",""
"Population per square mile, 2020","","23.0",""
"Population per square mile, 2010","","22.1",""
"Land area in square miles, 2020","","926.01",""
"Land area in square miles, 2010","","925.68",""
"FIPS Code","","""27057""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
