"Fact","Fact Note","Kandiyohi County, Minnesota","Value Note for Kandiyohi County, Minnesota"
"Population estimates, July 1, 2024, (V2024)","","44,674",""
"Population estimates, July 1, 2023, (V2023)","","43,813",""
"Population estimates base, April 1, 2020, (V2024)","","43,724",""
"Population estimates base, April 1, 2020, (V2023)","","43,726",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.2%",""
"Population, Census, April 1, 2020","","43,732",""
"Population, Census, April 1, 2010","","42,239",""
"Persons under 5 years, percent","","6.2%",""
"Persons under 18 years, percent","","24.0%",""
"Persons 65 years and over, percent","","21.0%",""
"Female persons, percent","","49.7%",""
"White alone, percent","","90.0%",""
"Black alone, percent (a)","(a)","6.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","1.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent (b)","(b)","14.6%",""
"White alone, not Hispanic or Latino, percent","","76.4%",""
"Veterans, 2019-2023","","2,034",""
"Foreign-born persons, percent, 2019-2023","","9.3%",""
"Housing Units, July 1, 2023, (V2023)","","20,581",""
"Owner-occupied housing unit rate, 2019-2023","","72.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$230,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,529",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$655",""
"Median gross rent, 2019-2023","","$843",""
"Building Permits, 2023","","217",""
"Households, 2019-2023","","17,450",""
"Persons per household, 2019-2023","","2.43",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","13.7%",""
"Households with a computer, percent, 2019-2023","","94.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","27.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.0%",""
"Persons without health insurance, under age 65 years, percent","","6.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","67.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","61.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","92,967",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","455,968",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","130,414",""
"Total retail sales, 2022 ($1,000)","(c)","892,760",""
"Total retail sales per capita, 2022","(c)","$20,396",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","17.5",""
"Median households income (in 2023 dollars), 2019-2023","","$75,097",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$37,618",""
"Persons in poverty, percent","","12.1%",""
"Total employer establishments, 2022","","1,414",""
"Total employment, 2022","","18,966",""
"Total annual payroll, 2022 ($1,000)","","910,901",""
"Total employment, percent change, 2021-2022","","2.0%",""
"Total nonemployer establishments, 2022","","3,168",""
"All employer firms, Reference year 2022","","1,020",""
"Men-owned employer firms, Reference year 2022","","659",""
"Women-owned employer firms, Reference year 2022","","89",""
"Minority-owned employer firms, Reference year 2022","","31",""
"Nonminority-owned employer firms, Reference year 2022","","845",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","801",""
"Population per square mile, 2020","","54.8",""
"Population per square mile, 2010","","53.0",""
"Land area in square miles, 2020","","797.37",""
"Land area in square miles, 2010","","796.79",""
"FIPS Code","","""27067""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
