"Fact","Fact Note","Nicollet County, Minnesota","Value Note for Nicollet County, Minnesota"
"Population estimates, July 1, 2024, (V2024)","","34,493",""
"Population estimates, July 1, 2023, (V2023)","","34,242",""
"Population estimates base, April 1, 2020, (V2024)","","34,453",""
"Population estimates base, April 1, 2020, (V2023)","","34,449",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.6%",""
"Population, Census, April 1, 2020","","34,454",""
"Population, Census, April 1, 2010","","32,727",""
"Persons under 5 years, percent","","4.8%",""
"Persons under 18 years, percent","","21.0%",""
"Persons 65 years and over, percent","","18.3%",""
"Female persons, percent","","49.5%",""
"White alone, percent","","91.3%",""
"Black alone, percent (a)","(a)","4.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","1.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent (b)","(b)","5.6%",""
"White alone, not Hispanic or Latino, percent","","86.3%",""
"Veterans, 2019-2023","","1,530",""
"Foreign-born persons, percent, 2019-2023","","4.5%",""
"Housing Units, July 1, 2023, (V2023)","","13,780",""
"Owner-occupied housing unit rate, 2019-2023","","72.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$258,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,701",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$657",""
"Median gross rent, 2019-2023","","$931",""
"Building Permits, 2023","","89",""
"Households, 2019-2023","","12,984",""
"Persons per household, 2019-2023","","2.39",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.6%",""
"Households with a computer, percent, 2019-2023","","92.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","95.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","35.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.3%",""
"Persons without health insurance, under age 65 years, percent","","4.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","69.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","67.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","42,683",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","283,700",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","114,598",""
"Total retail sales, 2022 ($1,000)","(c)","492,031",""
"Total retail sales per capita, 2022","(c)","$14,327",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","16.5",""
"Median households income (in 2023 dollars), 2019-2023","","$80,362",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$43,268",""
"Persons in poverty, percent","","8.7%",""
"Total employer establishments, 2022","","694",""
"Total employment, 2022","","13,607",""
"Total annual payroll, 2022 ($1,000)","","691,837",""
"Total employment, percent change, 2021-2022","","-2.7%",""
"Total nonemployer establishments, 2022","","2,302",""
"All employer firms, Reference year 2022","","590",""
"Men-owned employer firms, Reference year 2022","","322",""
"Women-owned employer firms, Reference year 2022","","139",""
"Minority-owned employer firms, Reference year 2022","","4",""
"Nonminority-owned employer firms, Reference year 2022","","513",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","492",""
"Population per square mile, 2020","","76.8",""
"Population per square mile, 2010","","73.0",""
"Land area in square miles, 2020","","448.59",""
"Land area in square miles, 2010","","448.49",""
"FIPS Code","","""27103""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
