"Fact","Fact Note","Chickasaw County, Mississippi","Value Note for Chickasaw County, Mississippi"
"Population estimates, July 1, 2024, (V2024)","","16,774",""
"Population estimates, July 1, 2023, (V2023)","","16,866",""
"Population estimates base, April 1, 2020, (V2024)","","17,107",""
"Population estimates base, April 1, 2020, (V2023)","","17,110",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.4%",""
"Population, Census, April 1, 2020","","17,106",""
"Population, Census, April 1, 2010","","17,392",""
"Persons under 5 years, percent","","6.6%",""
"Persons under 18 years, percent","","24.7%",""
"Persons 65 years and over, percent","","19.1%",""
"Female persons, percent","","50.8%",""
"White alone, percent","","52.4%",""
"Black alone, percent (a)","(a)","44.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.8%",""
"Hispanic or Latino, percent (b)","(b)","4.1%",""
"White alone, not Hispanic or Latino, percent","","49.6%",""
"Veterans, 2019-2023","","418",""
"Foreign-born persons, percent, 2019-2023","","2.1%",""
"Housing Units, July 1, 2023, (V2023)","","7,876",""
"Owner-occupied housing unit rate, 2019-2023","","67.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$100,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$999",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$426",""
"Median gross rent, 2019-2023","","$702",""
"Building Permits, 2023","","8",""
"Households, 2019-2023","","6,681",""
"Persons per household, 2019-2023","","2.46",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","93.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.2%",""
"Households with a computer, percent, 2019-2023","","84.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","73.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","80.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","12.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.0%",""
"Persons without health insurance, under age 65 years, percent","","14.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","53.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","49.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","44,388",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","21,140",""
"Total retail sales, 2022 ($1,000)","(c)","215,247",""
"Total retail sales per capita, 2022","(c)","$12,764",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.8",""
"Median households income (in 2023 dollars), 2019-2023","","$43,041",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$22,365",""
"Persons in poverty, percent","","19.6%",""
"Total employer establishments, 2022","","316",""
"Total employment, 2022","","5,139",""
"Total annual payroll, 2022 ($1,000)","","168,724",""
"Total employment, percent change, 2021-2022","","-7.4%",""
"Total nonemployer establishments, 2022","","1,200",""
"All employer firms, Reference year 2022","","261",""
"Men-owned employer firms, Reference year 2022","","164",""
"Women-owned employer firms, Reference year 2022","","38",""
"Minority-owned employer firms, Reference year 2022","","23",""
"Nonminority-owned employer firms, Reference year 2022","","192",""
"Veteran-owned employer firms, Reference year 2022","","7",""
"Nonveteran-owned employer firms, Reference year 2022","","206",""
"Population per square mile, 2020","","34.1",""
"Population per square mile, 2010","","34.7",""
"Land area in square miles, 2020","","501.78",""
"Land area in square miles, 2010","","501.78",""
"FIPS Code","","""28017""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
