"Fact","Fact Note","Copiah County, Mississippi","Value Note for Copiah County, Mississippi"
"Population estimates, July 1, 2024, (V2024)","","27,536",""
"Population estimates, July 1, 2023, (V2023)","","27,664",""
"Population estimates base, April 1, 2020, (V2024)","","28,369",""
"Population estimates base, April 1, 2020, (V2023)","","28,369",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.5%",""
"Population, Census, April 1, 2020","","28,368",""
"Population, Census, April 1, 2010","","29,449",""
"Persons under 5 years, percent","","6.0%",""
"Persons under 18 years, percent","","22.2%",""
"Persons 65 years and over, percent","","19.9%",""
"Female persons, percent","","51.6%",""
"White alone, percent","","47.0%",""
"Black alone, percent (a)","(a)","50.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","4.7%",""
"White alone, not Hispanic or Latino, percent","","43.8%",""
"Veterans, 2019-2023","","1,105",""
"Foreign-born persons, percent, 2019-2023","","1.4%",""
"Housing Units, July 1, 2023, (V2023)","","12,518",""
"Owner-occupied housing unit rate, 2019-2023","","74.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$105,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,280",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$360",""
"Median gross rent, 2019-2023","","$682",""
"Building Permits, 2023","","9",""
"Households, 2019-2023","","9,906",""
"Persons per household, 2019-2023","","2.72",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","93.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.9%",""
"Households with a computer, percent, 2019-2023","","87.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","76.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","20.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.6%",""
"Persons without health insurance, under age 65 years, percent","","12.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","50.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","43.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","29,525",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","71,526",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","254,430",""
"Total retail sales per capita, 2022","(c)","$9,181",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","30.6",""
"Median households income (in 2023 dollars), 2019-2023","","$47,994",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$28,574",""
"Persons in poverty, percent","","21.4%",""
"Total employer establishments, 2022","","440",""
"Total employment, 2022","","6,021",""
"Total annual payroll, 2022 ($1,000)","","216,579",""
"Total employment, percent change, 2021-2022","","8.3%",""
"Total nonemployer establishments, 2022","","2,129",""
"All employer firms, Reference year 2022","","400",""
"Men-owned employer firms, Reference year 2022","","241",""
"Women-owned employer firms, Reference year 2022","","44",""
"Minority-owned employer firms, Reference year 2022","","68",""
"Nonminority-owned employer firms, Reference year 2022","","266",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","292",""
"Population per square mile, 2020","","36.5",""
"Population per square mile, 2010","","37.9",""
"Land area in square miles, 2020","","777.29",""
"Land area in square miles, 2010","","777.24",""
"FIPS Code","","""28029""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
